pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0040360	0.000307755855545658	0.0048343588513406	0.00770737341206683	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	25.207029658713	42.5790909699078	38.8380357408915	7.61996883655924	4.87279908788501	6.43140236633616	30.861273824914	27.9366586151653	33.2267005124633	7.04786155927495	6.50219607508072	10.3134622317069
FBgn0024985	0.00401923777431658	0.019286221313332	0.0438947647002731	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	5245.00117129374	6310.82955446847	6536.84318797556	6127.4074406982	6228.24936749835	7580.47958912155	4878.13868259141	5735.74522192613	7031.60049595004	5798.37638855206	6231.89049538808	7649.15115518262
FBgn0024360	0.0164140677426353	0.0417861844267777	0.0937679998547992	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	279.216328527282	261.557273100862	234.367457057104	280.033854743552	268.81608301499	232.959685713954	324.043375161597	250.556906954764	231.548569196228	314.133258070541	299.101019453713	239.2723237756
FBgn0028550	0.0232645441272489	0.0506118506275842	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1979.72132934969	2734.18591299622	3220.87848127048	2295.51561201347	2502.18233162895	2960.58888930341	1751.89164412762	2126.67813707946	3698.54710079357	2012.6678938558	2215.39109129536	2666.37376897062
FBgn0025394	0.000468708812092069	0.00596458005097192	0.0144350833147329	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1643.30443351994	1903.89363908302	2093.23620217288	1750.68784019949	2079.06094416427	2386.76487817364	1657.25040439788	1905.80392990331	2308.21735122518	1743.84231723774	1948.80105221705	2291.65130788527
FBgn0024897	0.0230592222250175	0.050348513840143	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	259.826305712888	155.109545676093	60.2659175289695	53.3397818559147	194.099830334086	853.232713933931	377.536249791448	142.302354820998	79.9517481081147	40.2734946244283	274.950005460556	919.273266919475
FBgn0025390	0.000482272065114302	0.0060646649344045	0.0144350833147329	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1592.89037420252	2122.87182121397	3206.14681254118	1499.22886859303	1865.46991747864	2573.99014706032	1519.40338131327	1716.35846366922	2747.43279862431	1392.45607663961	1706.3620271319	2515.10965623892
FBgn0025382	0.0462368844838135	0.0747309603905374	0.165256070313035	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	328.660886703989	333.536212597611	168.744569081115	347.661078168016	292.3679452731	285.840105170496	332.273048181574	290.715853714064	218.05022211304	384.61187366329	313.963181911041	320.404893331694
FBgn0014411	0.000859544530626413	0.00841351094709382	0.0190065039084936	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1595.79887762468	1654.50182054499	2105.28938567867	1494.46638807018	1715.22527893552	1817.22846862143	1526.60434520575	1698.02503145302	1895.99859799243	1480.05092744774	1622.76236330943	1921.05423169261
FBgn0023508	0.0208703603548104	0.0477159210851893	0.10040290993306	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1581.25636051388	1941.40379065175	1782.53191624574	1732.59041421266	1707.10394712238	1907.26810175013	1528.66176346074	1820.24791289436	1837.85187209562	1856.60810218614	1721.22418958923	1949.93192594138
