baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0003048	1204.31587427125	-0.302551134031464	0.0706797824450555	-4.28058949200443	1.86398911444008e-05	0.000233022770105694	-0.30172935805385	5.7184525178665	2.54404967080818e-05	0.000324710265269191
FBgn0044047	2229.58011236368	0.591286404749466	0.110339550606426	5.3587893144367	8.37814876439791e-08	1.99616688719909e-06	0.592140659213293	6.60594256137951	9.8701765564462e-08	2.57592782173411e-06
FBgn0040392	65.5196100790547	0.60810419560726	0.111022361853043	5.47731272743224	4.31833639600394e-08	1.10887469171383e-06	0.607635597938194	1.55752592877972	1.16068750932128e-07	2.98872308246455e-06
FBgn0027296	1089.09955853291	0.213350254662175	0.0616831783751199	3.45880773790071	0.000542572055923841	0.00414084075827773	0.214665999070728	5.57418730224351	0.000768727630722582	0.00594259341974245
FBgn0023525	543.577478873599	0.226118914318037	0.080739659795862	2.80059285473514	0.00510088302106482	0.0258498717332057	0.227348010866475	4.57408030704954	0.00549772378865299	0.029140674293148
FBgn0040376	152.555611219624	0.509359689313106	0.11803731106569	4.31524307623067	1.5942737728847e-05	0.000204143772683017	0.510476692092821	2.75303726304705	1.91053715218485e-05	0.000257010180388013
FBgn0029629	2089.94978161537	0.273813229247904	0.0539320482733872	5.07700408224652	3.83432637509738e-07	7.76430824961579e-06	0.275067074149642	6.5132193807566	1.22784800053338e-06	2.39031059941234e-05
FBgn0011566	380.616662750915	-0.174706225349341	0.0540701154725279	-3.23110509053945	0.00123312592561235	0.00809518856443801	-0.174189491556991	4.06341644509844	0.00192110104914586	0.0125087055395779
FBgn0040377	491.812246435376	0.301594452541036	0.0708016984887039	4.25970646154985	2.0469554656758e-05	0.000252001792419574	0.302766621120655	4.43008038045329	2.38235779429208e-05	0.000307938231494326
FBgn0040388	122.149349435946	-0.458254287496036	0.0865650283478653	-5.29375772459198	1.19828164419483e-07	2.73917460336469e-06	-0.456993830335646	2.44142585000119	2.8559251917657e-07	6.6393328851291e-06
FBgn0024993	146.531526172409	0.757506520409513	0.0936678207483072	8.08715858186765	6.10727278950537e-16	5.04271196361055e-14	0.758785118487458	2.69472635819358	3.71193953515324e-15	3.09156146675632e-13
FBgn0024997	585.364819843805	0.695677798208243	0.182742037515651	3.80688432539044	0.000140728526959006	0.00132276529069024	0.697323480929578	4.68043469397619	0.000159677410444191	0.00159978058288123
FBgn0024991	258.999771742512	0.253468070303072	0.0615022203526607	4.12128324554231	3.76767854892775e-05	0.000426558216804137	0.254838410308478	3.51069553598287	7.41898268961052e-05	0.000829160049020881
FBgn0000928	26.840167785975	-0.838344363127415	0.223181173119337	-3.75633997890648	0.000172416430372186	0.00158332173547919	-0.831345759803432	0.349473878834934	0.000193683937220227	0.00188526905558468
