logFC	logCPM	PValue	FDR
FBgn0036022	1.78007878831524	7.79376179245467	2.16025479665788e-30	4.70248191872481e-28
FBgn0011283	2.61723666037491	1.86744372858522	4.78771514204732e-30	1.01903856956732e-27
FBgn0037166	1.06084302853885	4.56811931731704	4.43313238797289e-29	9.23055261130529e-27
FBgn0034755	1.59843930081288	1.342555741263	4.67088830097381e-29	9.51867407377173e-27
FBgn0036945	1.50756047319701	3.37892758135028	1.3659248813821e-28	2.72558927372453e-26
FBgn0263986	-1.40392664247809	2.63258985154181	1.63456193364462e-28	3.1950682041731e-26
FBgn0027660	-0.694006680004879	5.87711706572474	2.33373756130134e-28	4.47050767242885e-26
FBgn0261534	-1.37939492742742	3.54793294331439	2.65388134367856e-28	4.98409323720652e-26
FBgn0036015	0.878152408677529	9.03202043078863	3.78504058650638e-26	6.97175360337656e-24
FBgn0033728	-1.202942634534	4.71000453728428	1.01898533191107e-25	1.84147953000834e-23
FBgn0029791	-1.01971617066343	5.56859080375787	1.36149888674552e-25	2.41489561800899e-23
FBgn0037324	2.05697096502509	0.998176059121481	2.37208699493083e-25	4.1308816795359e-23
FBgn0038398	-1.18212431553765	6.90997473141278	3.20049021145347e-25	5.47398129380381e-23
FBgn0035627	-1.58600451457018	1.64086185718327	3.81098458414583e-25	6.40379128893838e-23
FBgn0000055	-2.34148983868908	2.59165097087814	4.18718376012342e-25	6.91462863007968e-23
FBgn0042129	1.55827362748142	2.05922896693884	6.07947684266953e-25	9.86936088120148e-23
FBgn0020414	0.558030730041707	7.8474421809558	7.02733202276366e-25	1.12179643523384e-22
FBgn0038946	-1.3695105422856	6.28078113833488	1.92824566662787e-23	3.02766180245274e-21
FBgn0033875	0.795136100290651	7.83497732604937	2.36369600954399e-23	3.65152909345361e-21
FBgn0034076	3.52826267302196	1.88737186318092	3.31845869519198e-23	5.04511069564267e-21
FBgn0035539	0.820446154065571	4.23296114097639	4.36554615362487e-23	6.53331266553421e-21
FBgn0035696	-0.620803556394841	6.29256902777734	9.02062139985893e-23	1.32922325796691e-20
FBgn0085475	1.60620666344801	0.47408560852372	1.51861170683048e-22	2.20382771636701e-20
FBgn0086348	-1.88680298071319	5.45040717628863	1.76862329293933e-22	2.52833938802581e-20
FBgn0041180	-0.793070228117059	8.29017371721324	2.00237559284033e-22	2.8204049159154e-20
FBgn0024943	-0.831409209746499	8.19653957035396	2.70292992411193e-22	3.75198011784697e-20
FBgn0035791	2.14326129462101	5.1690980141947	3.92906571269998e-22	5.3760844851772e-20
FBgn0038610	-0.520483557007436	5.58847731214469	4.07726491749181e-22	5.5002877999629e-20
FBgn0031821	-0.678519172017298	4.59579028913648	6.25767016146407e-22	8.32443955645873e-20
FBgn0034293	-1.15134376775911	3.53778851073681	9.86117014969427e-22	1.29383955744893e-19
FBgn0035726	-0.729485869643106	7.46940886055302	9.25777807603578e-21	1.19825673530096e-18
FBgn0002937	-0.737477457071181	6.53367023057905	1.36008906733021e-20	1.73692441158516e-18
FBgn0034166	-1.44247730970121	3.20514532063587	1.64769329299182e-20	2.07652715266784e-18
FBgn0034165	-0.637233487713939	4.28768965858131	1.77832480425575e-20	2.21205129547553e-18
FBgn0016756	-0.366731854561358	7.61520129223021	2.54724073361313e-20	3.12788099314699e-18
FBgn0025827	-0.644779113198668	4.7584442562941	5.38722486049991e-20	6.531498697958e-18
FBgn0035523	0.426983510524167	5.55371732437839	6.91851446173201e-20	8.28319143930865e-18
FBgn0029835	-0.615826781780717	3.79436786265107	1.07793478716947e-19	1.2746246162357e-17
