baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	logFC_INC1	logCPM_INC1	PValue_INC1	FDR_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	logFC_WAKED2	logCPM_WAKED2	PValue_WAKED2	FDR_WAKED2
FBgn0031260	1606.01040457618	0.295753414306009	0.0755576509018112	3.91427487191663	9.06762941980517e-05	0.00090847023622274	0.297215495642999	6.13346962325179	9.57683582678437e-05	0.00103448937569891	1606.01040457618	0.233375298132702	0.0754950082479527	3.09126793345348	0.00199303704834209	0.0210931589491939	0.229348120371385	6.13346962325179	0.00253695615324463	0.0272104882819452
FBgn0036970	472.935301991649	1.55149870608082	0.566794863174677	2.73731963164013	0.00619420768604405	0.0301617291392628	1.55229277125162	4.36654645147344	0.00606130802217824	0.0314099691337953	472.935301991649	4.02100018104629	0.566249663190401	7.10110829627855	1.23760346729635e-12	1.79602515299461e-10	4.00655147952408	4.36654645147344	1.1829517494101e-10	1.0526298935613e-08
FBgn0037410	394.996434496109	-1.13255435237464	0.162054889972144	-6.98870828624377	2.77428576923058e-12	1.44413636400492e-10	-1.13032571272298	4.12085944618128	5.06938108321004e-12	2.80662034768704e-10	394.996434496109	-0.935685279225825	0.161366306414138	-5.79851705116456	6.69039014387113e-09	2.79827758943221e-07	-0.938465629331878	4.12085944618128	8.20182847048513e-09	3.81345209176245e-07
FBgn0037396	295.165571452635	0.992304676271638	0.164132371059467	6.04575849277237	1.48708714238395e-09	4.99765636833457e-08	0.993311064764827	3.69754609786393	1.91668815056339e-09	7.25614193916844e-08	295.165571452635	0.481811655532188	0.164527552164834	2.92845574612014	0.00340650321385072	0.0330907583998603	0.478121258879669	3.69754609786393	0.00375655056220075	0.0382768524305944
FBgn0037298	4708.97212298549	-0.403746298151571	0.0526391212888749	-7.67008050791496	1.71888427497217e-14	1.15939954828757e-12	-0.402603240741974	7.684610372321	5.98230182466127e-13	3.74499914226181e-11	4708.97212298549	-0.485571384054685	0.0526069105240187	-9.23018248397211	2.70171225178717e-20	1.0350799979047e-17	-0.489011051642372	7.684610372321	2.28668402740557e-18	8.76074384579624e-16
FBgn0037265	748.469238263399	-0.337380663838967	0.0565706392622794	-5.96388282399927	2.46313404864414e-09	8.0794170951759e-08	-0.3359820419247	5.0344030440667	1.05986135578514e-08	3.5258306329511e-07	748.469238263399	-0.72384368312999	0.0569337668538153	-12.7137852127113	4.95753840219753e-37	5.935412852031e-34	-0.727237385116834	5.0344030440667	5.61622805703425e-35	6.72402904128426e-32
FBgn0037213	2708.89789193539	-0.219023023222296	0.0423132825286333	-5.17622387424288	2.26421745624897e-07	4.81926106576725e-06	-0.217799714764736	6.88714941093079	2.36296056379474e-06	4.19896776994916e-05	2708.89789193539	-0.159673999871371	0.0421716396923251	-3.78628862990192	0.000152914050471453	0.00232477900859615	-0.162999691406561	6.88714941093079	0.000397757834146033	0.00559430915631528
FBgn0037215	2829.91686057676	-0.175027513294322	0.0522685856569545	-3.34861774227162	0.000812157637523522	0.00568629082763179	-0.17397142583075	6.95025662217901	0.00148478452851842	0.0100788562821753	2829.91686057676	-0.197653492742311	0.0521924790701432	-3.78701100740353	0.000152470348256897	0.00232171859396591	-0.201194278844043	6.95025662217901	0.000239791729864442	0.00358303461566556
FBgn0031751	252.712573044797	1.60943071292332	0.572694937431013	2.81027578162797	0.00494990653094404	0.0252902888866126	1.60906047867112	3.47426442362175	0.00497047761872623	0.0268209772575549	252.712573044797	3.62320931631189	0.571950972426988	6.33482499546657	2.37610816846852e-10	1.49726079194681e-08	3.60983612278996	3.47426442362175	5.05921612936597e-09	2.47230469831976e-07
FBgn0031734	4571.13296656746	-0.198709603879624	0.0702933250324989	-2.82686305972514	0.00470064248339596	0.0242448862175372	-0.197673057688919	7.64159670552476	0.00622313706486357	0.0319192548330261	4571.13296656746	-0.252034473183297	0.070263939930483	-3.58696756021157	0.000334545924639137	0.00455800976698955	-0.255055443629408	7.64159670552476	0.000406071689531934	0.00568619099756852
