x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0035802	0.318210812061247	0.0324589646464646	20	2	226.710439863753	3159.49994042757	2631.73773868663	2631.1705197338	2461.8271278055	3008.88184593984	2788.48541440857	3029.11175487445	2517.11737350499	2467.86843562168	2650.15553691691	3014.19278990028	2780.00252081086
FBgn0000562	0.318210812061247	0.0324589646464646	24	22	215.226524453119	2508.16399518381	2266.11805284434	2153.08303524927	1996.80288654957	2459.33100380266	2514.17099559277	2445.50062365098	2335.44891832019	2109.19094688514	2005.6665902388	2381.58442658788	2401.33108109908
FBgn0263916	0.318210812061247	0.0324589646464646	24	20	213.471892702458	1271.43553076891	1078.75907307925	1233.22920026047	1315.51435960112	1362.95887669122	1515.5304874245	1215.95095884036	1001.19504190736	1058.25544781743	1128.65197746101	1609.64645110954	1645.1426877722
FBgn0032694	0.318210812061247	0.0324589646464646	24	20	202.533691589515	1822.12098358602	1523.11369126878	1412.30083755856	1734.59644690164	1979.83879551409	1645.88651289482	1819.96014901922	1478.5793713652	1544.50918619204	1776.32620723637	2027.63528760734	1864.49504614183
FBgn0283712	0.318210812061247	0.0324589646464646	24	8	198.118615761214	1657.84086951033	1784.65846653715	2100.71302811492	1720.02942247676	1702.33381728256	1507.59577283065	1695.30534429187	1946.8802780638	2079.91115188623	1981.24608649317	1590.60762211792	1798.68933863094
FBgn0040397	0.318210812061247	0.0324589646464646	28	22	198.014097187311	1346.63417453596	1152.06401009219	1251.81210601782	1017.45062906117	1399.352972197	1600.54528664427	1399.53348943881	1169.74299755104	1227.65997602536	1011.85826389496	1329.25642414207	1590.88184122814
FBgn0031228	0.318210812061247	0.0324589646464646	24	22	194.950906451626	2121.75865644239	2011.81327135501	1868.42670614805	2136.87042909653	2021.69200534573	2318.07019205916	2193.92456320125	1827.78651299821	1677.31397065134	2041.76646534103	2118.50242597642	2429.03874741945
FBgn0036661	0.318210812061247	0.0324589646464646	24	12	192.87629092534	916.266551746114	1272.42890666898	1540.69182279116	1341.28678742976	1310.18743820785	1211.74427154584	984.772957346015	1291.86457020304	1684.63391940107	1510.88594913172	1274.73614112062	1331.12246947463
FBgn0001187	0.318210812061247	0.0324589646464646	24	0	190.123528677082	1797.82603713821	1615.42361195173	1353.17341014881	1290.86247211285	1558.57714003476	1564.27230564383	1747.43371717785	1233.32695686572	1287.26527298741	1135.02254365552	1671.9553459912	1667.07792360917
FBgn0036974	0.318210812061247	0.0324589646464646	24	14	184.780275243545	2859.8622675712	2867.94253572831	2903.15668581864	2964.9497406342	2951.56114551825	2830.42604869033	2603.01896780644	2634.19260017964	3298.15976523337	3126.88624047287	3037.5586254809	2870.05243635207
FBgn0001250	0.318210812061247	0.0324589646464646	24	2	176.341115918784	3296.01440142005	2855.27254661497	2872.74829457935	2548.10873401443	2700.44188652841	2841.76135525297	3072.17432378026	2833.01863168745	2940.52798346108	2511.06484167007	2791.78465122547	3033.98946208095
FBgn0005561	0.318210812061247	0.0324589646464646	24	10	175.040265900966	731.16219785801	824.454291589932	1265.32694656861	989.437120551777	761.546448458314	869.418013354218	744.529151871498	958.80573569757	1177.46604174153	1026.72291834882	748.572139897715	788.514004033976
FBgn0000163	0.318210812061247	0.0324589646464646	28	6	172.705608184476	2316.1182280249	2326.75300074392	2577.95583506503	2075.24071037587	2077.19300099203	2044.88930389962	2119.13168036484	2245.62395992326	2431.26869187305	2331.62722719132	2074.36695876858	2082.69291841478
FBgn0029706	0.318210812061247	0.0324589646464646	28	2	170.973973968845	1567.60249698988	1902.3083654468	1507.74939894858	1504.88567712462	1341.12241938776	1272.95492698408	1589.91537302239	2169.92877026292	1475.49252655177	1483.28016228883	1424.45056910016	1109.46113891164
FBgn0259716	0.318210812061247	0.0324589646464646	28	14	168.456789406846	458.133275873057	581.009500769195	726.42267960548	742.918245669115	702.406043261432	746.996702477744	428.359238063054	468.300906698602	699.57795908089	628.562531191831	862.805113847425	831.229989611219
FBgn0267976	0.318210812061247	0.0324589646464646	28	20	165.161353588873	2107.87582990078	1691.44354663181	1889.54364450867	1858.97642468335	1939.80529045774	2193.38181987016	2128.19748434501	1759.15620770617	1720.18795618545	1795.43790581991	2096.8673930314	2423.26631693604
FBgn0260660	0.318210812061247	0.0324589646464646	24	6	164.187073499756	3548.21908359259	3455.28703105418	3377.86546016548	3443.42046597465	3227.24641897448	3297.44067907095	3592.32482714254	3600.06322024551	3743.63093200237	3514.42901730568	3009.00038199348	3358.40005524866
FBgn0260945	0.318210812061247	0.0324589646464646	24	22	163.275892942201	3402.44940490571	2876.99252795213	2726.61908112382	2912.28434463655	2967.93848849584	2980.05209531713	3218.36041296051	2832.00936249198	2870.46561685657	2814.7284969418	2997.75016486207	3095.17722520511
FBgn0051869	0.318210812061247	0.0324589646464646	24	0	152.806114748857	916.266551746114	860.654260485209	859.037052510201	646.551776396801	781.56320098649	986.171670949374	928.11168246995	943.666697765503	691.212303366918	617.944920867645	829.919863770993	1077.13552820454
FBgn0051248	0.318210812061247	0.0324589646464646	24	20	152.198960513422	970.640955700744	797.304314918474	770.345911395579	804.54796438978	1012.66570744815	905.690994354655	903.180721524481	624.737631996627	656.703973546785	774.023792633184	963.191666712321	1014.7932789837
FBgn0030558	0.318210812061247	0.0324589646464646	28	0	151.41393724874	546.057843969906	517.65955520246	431.630220091163	367.537231643242	295.702025984411	300.385623909867	604.009190178856	411.781831752219	516.579240337757	375.863405476196	276.928421696265	332.491995844488
FBgn0040817	0.318210812061247	0.0324589646464646	24	8	151.103948832162	261.459899866947	501.369569199585	500.893777914011	552.426387805239	287.513354495612	257.311458971848	287.839276370412	465.273099112189	438.151218019272	449.124916713082	259.620395340248	243.596566399955
FBgn0034709	0.318210812061247	0.0324589646464646	24	6	147.3443763411	1248.2974865329	1712.2585287466	1672.46151816145	1493.68027372086	1203.73470885346	1376.10621670407	1308.87544963711	1711.72055551903	1600.97736226135	1670.15010399451	1183.86900275153	1187.96619348603
FBgn0051207	0.318210812061247	0.0324589646464646	24	2	146.668811173747	1130.29346092923	1038.93910729445	929.145287867474	809.030125751283	675.110471632102	918.159831573555	1120.76001704857	894.212507187418	848.068348003889	868.520524518442	692.321054240662	980.158696083229
FBgn0264855	0.318210812061247	0.0324589646464646	24	16	144.478718501197	4212.28095316616	4163.90142217923	4379.6530159935	4447.42461095131	4619.32057207032	4366.36008792757	4301.72398859088	4134.9758938452	4550.91670840065	4569.8194835298	4402.29650365281	4419.37277809965
FBgn0036619	0.318210812061247	0.0324589646464646	28	24	137.695853235356	1242.5129754739	1105.90904975071	845.522211959401	1027.53549212455	1203.73470885346	1289.95788682803	1232.94934130318	988.074542366232	1122.04357263647	873.829329680535	893.959561288254	1154.48609668225
FBgn0030724	0.318210812061247	0.0324589646464646	24	6	137.201354845034	2747.64275302654	2935.81747740696	2805.17409182535	2754.28815664357	2526.66008048834	2678.532940751	3032.51143136702	2857.24109237876	2898.69970489122	2781.81390493682	2611.7811771229	2693.41606355969
FBgn0022029	0.318210812061247	0.0324589646464646	28	10	136.790620938229	919.737258381516	1036.2241096273	1214.64629450312	1151.91546990626	1125.48740351605	1041.71467310629	848.785897643459	1033.49165616243	1200.47159495495	1198.72820560064	1164.83017375991	1028.64711214388
FBgn0034083	0.318210812061247	0.0324589646464646	28	26	136.072786211378	1520.16950630605	1478.76872937206	1348.95002247669	1237.07653577482	1333.84360028661	1514.39695676823	1653.37600088359	1567.39506056666	1243.34558048906	1397.27751866292	1375.98809530332	1430.40827378931
FBgn0032997	0.318210812061247	0.0324589646464646	28	18	135.90569789774	1406.79308954959	1217.22395410369	1229.00581258834	1350.25111015277	1512.1746682649	1465.6551385489	1485.65862725043	1186.90057387404	1314.45365405782	1381.35110317664	1386.37291111693	1589.72735513146
FBgn0037721	0.318210812061247	0.0324589646464646	28	0	134.425895599363	594.647736865534	605.444479773506	403.755861455139	367.537231643242	390.326674299423	472.682283661941	563.213072268089	634.830323951338	375.408800164484	293.046044947543	346.160527120331	374.053495325049
FBgn0265192	0.318210812061247	0.0324589646464646	28	4	134.013228038497	1696.01864249975	1703.20853652278	1560.96408361736	1653.91754239459	1467.59190127032	1285.42376420298	1477.72604876778	1620.88632792663	1574.83468815519	1496.02129467785	1437.43158886717	1329.96798337795
FBgn0001087	0.318210812061247	0.0324589646464646	24	8	134.006764329681	3044.96662145931	2862.51254039402	3078.84961297904	3015.37405595111	2887.87147838314	2691.0017779699	2984.91596047112	3100.4749684873	3097.38402809805	3075.92171091678	2848.03573688252	2732.66859084688
