logFC	logCPM	PValue	FDR
FBgn0039152	-1.72392079463071	4.77336359332011	7.22262803397307e-15	1.25778784198898e-12
FBgn0260474	0.697265911614525	5.71076808055732	7.81244842207697e-15	1.33620769619024e-12
FBgn0033593	1.14975186104239	7.02083670637205	8.49258660619411e-15	1.42705253533557e-12
FBgn0050033	-0.595024775856928	6.29097564089736	9.0000951050062e-15	1.4862570847543e-12
FBgn0044810	1.70801461283869	6.42305361024453	1.26602893871505e-14	2.05525850423944e-12
FBgn0038467	0.70118850322229	5.66273802860635	1.5080583915875e-14	2.40736387910419e-12
FBgn0040074	-1.36995582992194	6.29712270409208	1.64604354966936e-14	2.58455821618575e-12
FBgn0039666	2.76495344643027	3.24926195218214	4.46781581526893e-14	6.90205481913643e-12
FBgn0028939	-1.21564969456526	3.50723532762459	5.32294308320756e-14	8.09256330967651e-12
FBgn0032638	2.76130024226127	6.22367852128935	6.37010062513346e-14	9.36560418563548e-12
FBgn0037222	0.949266955413112	2.68345031305655	6.42146804001065e-14	9.36560418563548e-12
FBgn0032781	0.389856715382041	4.97677415796449	6.45364247496284e-14	9.36560418563548e-12
FBgn0034761	0.98560880984971	7.10576951400817	7.30355973737509e-14	1.04408201738177e-11
FBgn0034013	-0.311495143900027	5.65273651017164	7.68999997888329e-14	1.08315911467271e-11
FBgn0035112	0.732008749416828	4.22301841907318	7.97922912623904e-14	1.10760951552344e-11
FBgn0033520	0.72787466697935	3.46726425221395	8.20056214277063e-14	1.12207120290653e-11
FBgn0260653	0.868994357734874	3.87183221885275	9.94695132537694e-14	1.32965670196101e-11
FBgn0038820	-0.651625405252482	3.840001753879	9.99533123211453e-14	1.32965670196101e-11
FBgn0039241	1.00518967032507	7.58409147967754	1.09598536480404e-13	1.43799285261549e-11
FBgn0036837	-0.599249588904549	9.12408115138949	1.11522544052537e-13	1.4434634147773e-11
FBgn0013307	-1.14553131315894	6.3921558576287	1.47961779363161e-13	1.88957056365381e-11
FBgn0012042	1.75184850057073	6.46974427896622	1.52013154803923e-13	1.91576578514734e-11
FBgn0030830	2.48591712297893	1.50733866150909	1.65003580594707e-13	2.05006902687018e-11
FBgn0038243	0.406426005891874	4.88880064380712	1.66950703796068e-13	2.05006902687018e-11
FBgn0031939	0.841330558120073	3.97484326104738	1.69120181924335e-13	2.05042164869783e-11
FBgn0038660	0.628630786731999	3.03286866972044	1.75843669434771e-13	2.1052883323078e-11
FBgn0051781	0.661369419397272	7.14018133714548	1.94928088502184e-13	2.30496448354805e-11
FBgn0041579	1.58943489926628	8.42098001408768	2.26128656523801e-13	2.60981815939996e-11
FBgn0035806	1.02750650417847	5.9487985347317	2.26158808968675e-13	2.60981815939996e-11
FBgn0053192	1.14445804947668	2.38724851561387	2.65692242389853e-13	3.01835266911877e-11
FBgn0045761	0.349585611582094	5.46131485889204	2.67863830523173e-13	3.01835266911877e-11
FBgn0041182	0.572207633050246	8.50541233214616	3.58192924174501e-13	3.98926956714345e-11
FBgn0039685	2.60642813854498	4.6308339893283	3.6739339010764e-13	4.04470562120802e-11
FBgn0051864	0.794080259787316	1.70564442637294	3.88880296373014e-13	4.23260849847811e-11
FBgn0053519	-0.511082089752868	7.16099608676551	6.11362621564157e-13	6.57936088690056e-11
FBgn0035348	0.770196866878344	9.51468462859455	7.04299334808164e-13	7.49531003199177e-11
FBgn0032139	0.476085838246901	5.26615904966444	8.14902982829341e-13	8.57707776872464e-11
FBgn0033139	1.07208138124101	3.00259007281191	8.34690313789553e-13	8.68985198421341e-11
FBgn0032387	0.884378443152464	3.48070713843219	1.57869037807036e-12	1.62588133775892e-10
FBgn0263830	-0.957235637215493	4.30818240756328	1.72582483141027e-12	1.75850534417527e-10
FBgn0034655	-0.457453577593319	4.2772957032871	1.82963025046729e-12	1.84465247778691e-10
FBgn0036627	0.889351836389862	4.46248646550561	1.90577021654962e-12	1.90140282647002e-10
FBgn0250871	0.376033154710441	6.45569747966762	1.99361839584304e-12	1.96854402014274e-10
FBgn0030160	0.504198530851236	8.25499101839419	2.57810349739294e-12	2.51970156102343e-10
FBgn0266000	0.637129976981764	6.88024324747671	3.81506152790145e-12	3.69097568830708e-10
FBgn0031775	1.20112417571728	5.48753251124327	4.07723325114362e-12	3.90517400794536e-10
FBgn0038160	1.41267385984153	6.94084778965585	5.01738191723257e-12	4.75806772309441e-10
FBgn0053460	0.841739892915599	2.92294322756284	5.48875716755805e-12	5.15405060302657e-10
FBgn0028542	-0.704573196258469	4.23709334758876	5.54759819223507e-12	5.15872771701238e-10
FBgn0051414	0.509630729510659	5.32265953532005	6.48827872716468e-12	5.97545515853685e-10
