x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0034142	0.451877853755579	0.0324589646464646	24	14	244.457767752332	1802.56590249957	2153.82138654408	1709.16183621327	2548.23391591652	2456.91138061416	2212.77913733103	1826.13183527024	2205.87914765014	2301.97391751908	2511.16687527234	2502.8975994433	2153.48941421055
FBgn0050421	0.451877853755579	0.0324589646464646	24	20	243.734298202616	2506.70990353526	2454.37571999521	2262.98715954816	2326.42408113026	2808.02538520572	2987.38725639672	2498.14835064969	2241.73877150882	2688.22272465336	2528.49273555883	2849.41769378293	3011.79056281602
FBgn0031995	0.451877853755579	0.0324589646464646	28	26	218.263646134725	5182.24340671185	5187.51331421851	5339.98042121845	4485.7170309332	4721.41937992436	5053.91171390415	5295.7823222837	5134.07357588241	4985.02366707689	4686.64520749405	4514.98640952686	4913.15970325805
FBgn0037167	0.451877853755579	0.0324589646464646	28	0	214.612872214354	646.444796094984	612.004896513789	343.840193188279	453.936406074197	214.569669472619	374.66476621476	984.024183234193	618.834651732783	676.797575000927	371.423129891511	201.095267862671	337.677334180944
FBgn0032026	0.451877853755579	0.0324589646464646	24	20	211.991954586172	1652.9753711718	1352.04049096296	1070.84050433333	1447.43813118659	1665.13156722966	1540.18817147561	1554.82081974438	1274.55348800593	1213.06265990612	1519.26137387111	1888.25048128677	1351.61951821752
FBgn0265274	0.451877853755579	0.0324589646464646	24	18	203.588460080895	2119.91152967347	2043.04305216027	1677.37125874087	2339.83583858245	2315.93378786149	2373.47872380386	2167.35761248931	1940.51793109585	2265.76309185024	2348.73693508655	2392.69284812873	2526.66382664771
FBgn0052758	0.451877853755579	0.0324589646464646	28	10	200.244293571634	2358.18787600269	2781.26260834085	2846.92987206743	2601.88094572528	2592.56906420636	2497.16323698801	2366.66685851023	2528.61576237833	2908.07416621417	2776.46911090914	2624.46366532638	2531.21473411646
FBgn0052638	0.451877853755579	0.0324589646464646	24	18	192.59152058568	1332.42423261231	1311.17962991975	1255.72781015963	1395.85444867816	1621.68564241909	1572.68921143641	1279.33578859504	1337.05168958822	1345.83568735853	1413.14047961639	1681.47455613985	1800.33899463587
FBgn0051207	0.451877853755579	0.0324589646464646	28	0	188.138480319761	879.378623448218	827.205431341338	575.576771079163	522.026866985327	561.250416430446	626.547825910947	831.672612977362	884.195868287073	684.557037644249	723.354666960727	578.290911537285	736.336828443083
FBgn0267012	0.451877853755579	0.0324589646464646	24	10	187.063767990227	33.1236176511479	260.601491542222	553.825323334892	258.950086192326	80.6852889339187	71.321726580641	22.9570859291116	372.940088130353	548.335360128139	245.810642814498	84.0737278069924	45.5090746874588
FBgn0039325	0.451877853755579	0.0324589646464646	24	2	186.930623874605	1367.68485785385	1001.54510512568	1014.78869668463	827.402267435241	708.434569870341	879.333692272713	1283.50980421851	1152.63076688639	804.397627357789	811.066834661054	935.036188988577	968.433109349122
FBgn0034179	0.451877853755579	0.0324589646464646	24	0	182.232071674826	2076.10287407034	1987.65388496837	1522.60134209895	1771.38365733954	1772.41640196597	1969.02133762504	2029.61509691464	1850.35659110829	1617.41687987483	1913.42469538863	1829.17164553051	2178.06431454178
FBgn0003885	0.451877853755579	0.0324589646464646	28	22	181.206015409567	2798.4114396244	2405.34268674336	2457.07700095858	2579.18412542157	2597.88897336683	2814.95118327137	2716.24066697625	2440.50354375412	2324.39014293312	2091.01476332509	2546.07059480365	2757.84992606
FBgn0050203	0.451877853755579	0.0324589646464646	24	10	174.194723268944	454.114112959286	704.622848211721	706.085457544787	774.786911276641	647.255614524842	489.321212743132	482.098804511344	833.99239488491	906.132804236909	860.878682984697	693.040188679261	555.210711186997
FBgn0015577	0.451877853755579	0.0324589646464646	24	0	160.576921742188	2894.57678119225	2487.97242796407	2258.80418882811	2394.51454204139	2317.70709091498	2520.63621029303	2868.59223723308	2386.20182762525	2195.92792806033	2406.12884728553	2385.87605938762	2507.55001527898
FBgn0034590	0.451877853755579	0.0324589646464646	24	2	156.899730595921	695.595970674107	735.495498777699	446.74127290156	500.361720331785	458.398839327868	697.869552491588	706.452144273117	700.799506266927	583.684023281054	428.815042090491	494.217183730293	637.127045624423
FBgn0259678	0.451877853755579	0.0324589646464646	24	4	155.951809280665	1058.88726104154	1068.7385210634	1203.02237908697	838.750677587096	734.147464145986	1011.14346544706	949.588554340526	1017.38875690506	994.073380861234	739.597660979306	729.396395298501	913.822219724172
FBgn0051352	0.451877853755579	0.0324589646464646	24	8	148.697105270595	1299.30061496116	1512.7598777329	1485.79119976249	1451.56482578726	1306.03769889739	1253.09565182189	1324.20645654739	1598.3146634158	1451.01951430135	1509.51557745996	1240.65555088156	1255.14027988011
FBgn0267330	0.451877853755579	0.0324589646464646	24	10	143.87473550736	2102.81546895029	2179.24592230429	2222.83064063566	2695.76324789063	2166.9763313681	2029.50938421875	2289.44756947595	2306.28609445446	2306.2847300987	2570.72452000713	2142.74392762145	2063.38144632938
FBgn0031190	0.451877853755579	0.0324589646464646	24	22	143.856849694375	2973.64606203693	2844.8239477414	2507.2726495992	2728.77680469603	2792.95230925103	2815.85398993695	3049.11841294837	2723.28229189692	2667.53082427117	2820.86662789325	2849.41769378293	3076.41344887221
FBgn0036697	0.451877853755579	0.0324589646464646	28	10	143.677431928122	1966.04698316491	2151.0973291412	2282.2288248604	2100.48755174333	2094.2709061749	1832.6975311228	2057.7897023731	2183.33881265325	2125.2306017545	2285.93069154805	2201.82276337772	2079.76471321686
FBgn0040397	0.451877853755579	0.0324589646464646	24	22	142.064733937553	1228.77936447807	1189.50506592443	1141.1144124302	1008.97682986492	1198.75286416108	1421.01769161935	1258.46571047766	1218.20265051371	1164.78155901433	964.833844703604	1304.27891246523	1437.17657862995
FBgn0000239	0.451877853755579	0.0324589646464646	24	0	138.863158504876	2781.31537890123	2601.47481975075	2430.30598835024	2369.75437443734	2436.518395499	2512.51095030283	2742.32826462297	2574.72099305378	2493.37399605437	2496.00674752167	2642.641768636	2750.56847411001
