probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0003517	0	burg	1	21.1216931217	3597.36602106	5.36880560188	27847.9462538	0.701734180876	0.635452887737	0.10706315439	0.0043223077923	0.0512791815761
FBgn0023513	1	mle	1	22.0552486188	49.491521494	17.3627522976	238.302800693	0.621293806525	0.537136874642	0.18376941823	0.0126578759426	0.0808247571857
FBgn0023510	1	burg	1	21.3475935829	281.6767032	19.3783635479	2697.82752725	0.766185142291	0.714226285022	0.0859868829126	0.00144518841597	0.0352214113185
FBgn0023522	0	burg	1	21.6956521739	70.7551034522	7.07065019819	550.398144832	0.639981489893	0.559977376536	0.110888049141	0.0100800279502	0.072239399336
FBgn0025630	0	burg	1	21.6956521739	76.7366162958	17.0485513968	491.133425821	0.739419491282	0.681512711567	0.140096156765	0.00235363261832	0.0405451316875
FBgn0025629	0	burg	1	20.5773195876	29.5323832627	8.75358766116	309.732386033	0.601231869487	0.512616729373	0.0925306017323	0.0159676862392	0.0903546027174
FBgn0026878	1	burg	1	20.9005235602	64.759278897	7.64285174	194.312900387	0.637274490846	0.556668822145	0.29997847337	0.0104256092943	0.0730479047702
FBgn0026089	0	mle	1	26.972972973	74.6628857755	22.5894627758	584.017204025	0.87590915614	0.848333413061	0.094007166421	8.35273725998e-05	0.00958885144482
FBgn0023516	0	default	1	24	152.859967421	1.99834292387	965.922276696	0.497161515718	0.385419630322	0.158799901031	0.0453344434816	0.154085627987
FBgn0023515	0	default	1	24	33.9430361123	16.9923249054	191.42392112	0.561091856639	0.46355671367	0.191920040586	0.0245856318465	0.112107537726
FBgn0040395	1	yule-walker	1	25.2658227848	377.141051134	16.4792818958	5250.78571965	0.493038467553	0.380380349231	0.0801016258828	0.0470313593198	0.157074652515
FBgn0023507	1	yule-walker	1	23.7619047619	2275.53227555	4.58187045159	7278.13971129	0.650125325643	0.572375398008	0.273920239248	0.00886352109531	0.0685188095649
FBgn0004654	1	burg	1	22.9425287356	780.402457448	5.50340543178	3234.70159551	0.69837363491	0.631345553779	0.2159242342	0.00454581599013	0.0517067257613
FBgn0025839	0	burg	1	22.0552486188	187.962976318	2.5426720887	1400.62817545	0.593587767801	0.503273938423	0.123654043097	0.0173920377312	0.0940756669524
FBgn0011576	0	burg	1	23.2093023256	100.666197206	12.9097334822	1089.12772037	0.608190499139	0.52112172117	0.121650055119	0.0147515390353	0.0864731494712
FBgn0040900	1	yule-walker	1	24.1939393939	13.0733119158	23.7607234982	36.9984989119	0.800773526119	0.756500976368	0.281694756224	0.00070317224113	0.0289049101741
FBgn0023549	0	mle	1	21.0105263158	175.576667823	6.7606339594	813.176174379	0.528100594421	0.423234059848	0.212239381137	0.034066101519	0.131455438273
FBgn0001330	1	yule-walker	1	23.3450292398	29.4035708671	16.4678125694	280.839807373	0.556647015855	0.458124130489	0.0976231222748	0.0257260649603	0.114092911875
FBgn0004397	1	yule-walker	1	23.7619047619	992.352144966	7.80024262404	4223.31469001	0.728689645675	0.668398455825	0.19508234682	0.00282227064421	0.04332987322
FBgn0023550	0	burg	1	23.4823529412	41.8242275118	5.7973523207	62.2635957155	0.617583011356	0.532601458324	0.61395700402	0.0132256582953	0.0825784583784
FBgn0023541	0	mle	1	24.6419753086	23.7555411396	13.9934355335	57.3959429785	0.746199827499	0.689799789166	0.36964499861	0.00209032400619	0.0393851849141
FBgn0040333	0	mle	1	23.4823529412	14.6104619355	18.121669874	38.2648928054	0.700870969848	0.634397852037	0.367166045423	0.00437888493224	0.051317188903
FBgn0040334	0	default	1	24	41.9200554417	6.32541097011	340.412772671	0.578014654004	0.484240132672	0.117041951788	0.020598621806	0.102791230531
FBgn0029629	1	mle	1	20.9005235602	240.592156796	7.13230086566	1974.06843032	0.688648197793	0.619458908414	0.107568502722	0.00524362019685	0.0542319091361
FBgn0011606	0	burg	1	23.6213017751	24.1966117568	11.7032882145	105.979846947	0.706316452764	0.641053442268	0.193318919237	0.00403142214451	0.0496949308882
FBgn0040377	0	default	1	24	61.9116556207	3.28304268378	491.613054561	0.497349022747	0.38564880558	0.12825470331	0.0452584202311	0.153881842021
FBgn0003068	0	mle	1	23.6213017751	3116.36551206	11.7162033326	3634.98477756	0.959439368761	0.950425895153	0.631097633931	5.45093713722e-07	0.000929131063941
FBgn0024997	0	burg	1	20.9005235602	159.430968807	18.2370856247	449.870004397	0.722819365479	0.661223668919	0.297647422324	0.00310765630011	0.045222224087
FBgn0024991	0	default	1	24	29.8737704464	15.5029862752	256.030723919	0.713355354331	0.649656544182	0.106860535512	0.00361449187095	0.0481082264653
FBgn0000928	0	burg	1	22.4269662921	16.2225383793	16.048756089	45.3949376415	0.601108779322	0.512466285838	0.358087917071	0.0159898780127	0.0903546027174
FBgn0040384	0	burg	1	25.106918239	145.758001784	0.511550266212	1382.01825715	0.716399667206	0.653377371029	0.0927010151749	0.00344492929431	0.0472197206976
FBgn0024980	0	default	1	24	168.400802583	1.91209276935	647.693605323	0.75391980594	0.699235318371	0.232850914442	0.00181905140782	0.0381400501063
FBgn0024995	0	mle	1	25.106918239	45.0406051836	22.3974093102	256.210737006	0.530226023993	0.425831807103	0.166443793521	0.0333810732334	0.129863492863
FBgn0000092	0	mle	1	24.0481927711	21.1816848724	15.0461109301	50.3988121339	0.718505578911	0.655951263114	0.360983834968	0.00333130244944	0.0465798757091
FBgn0011276	0	burg	1	22.3016759777	9.47742735185	15.6684983328	30.2684782222	0.578232563883	0.484506466968	0.305359729996	0.0205507987028	0.102791230531
FBgn0040396	1	burg	1	24.3414634146	58.0437500832	1.8861902793	328.343878012	0.697674525804	0.630491087094	0.173103069308	0.00459342195976	0.0517067257613
FBgn0000479	1	burg	1	26.972972973	481.402952061	12.2779257112	5210.67159813	0.533155299009	0.429412032122	0.0995274416965	0.0324545768691	0.1281104331
FBgn0028746	0	default	1	24	38.1559608878	4.9651669782	466.731844004	0.49674704189	0.384913051199	0.0895551131815	0.0455028410599	0.154220173982
FBgn0003285	1	burg	1	21.4623655914	53.8056444842	9.01243452321	285.037993028	0.540816542602	0.438775774291	0.184040807151	0.0301257627633	0.123309639208
FBgn0015286	0	burg	1	22.0552486188	293.397666146	9.21052237888	1937.04682156	0.722518930574	0.660856470701	0.136974947215	0.00312284276669	0.045222224087
FBgn0029688	1	burg	1	20.0603015075	335.802020378	19.369544236	5354.85988867	0.551390006628	0.45169889699	0.0800299627611	0.0271275296753	0.117095268415
FBgn0019661	0	default	1	24	7701.72270637	15.8037272246	22896.3411099	0.76703132449	0.71526050771	0.30249354491	0.00142180123697	0.0351886621388
FBgn0066114	0	yule-walker	1	21.9340659341	21.9519685497	5.4722719848	400.65640589	0.553337619719	0.45407931299	0.050813101464	0.0266015652719	0.11613026079
FBgn0029706	0	yule-walker	1	27.3424657534	234.541330015	3.50565017214	1512.01839389	0.567464245483	0.471345188923	0.156975575489	0.0230196681895	0.10834515082
FBgn0029693	1	mle	1	21.4623655914	44.0874223138	19.5312048297	723.137821751	0.607437526552	0.520201421341	0.0553346800525	0.0148795403752	0.0871126147392
FBgn0028325	0	burg	1	21.5783783784	1166.02513024	5.54688854157	7145.79078644	0.758857464285	0.705270234126	0.126769836707	0.00166047447992	0.0372666504622
FBgn0004368	0	burg	1	24.95	415.486706555	19.1077279009	2779.75885689	0.667348132597	0.593425495396	0.135344950381	0.00706244121617	0.0619451116928
FBgn0003449	0	burg	1	22.9425287356	46.4012071541	2.8882626479	636.285001987	0.533823298589	0.430228476053	0.0696339535984	0.0322461255421	0.127784889237
FBgn0024332	1	mle	1	22.4269662921	21.5314626115	16.5931185183	99.1565215435	0.637171136292	0.556542499913	0.198209257293	0.0104389839322	0.0730881491978
FBgn0026751	0	burg	1	25.106918239	66.4077625894	13.0056879401	510.145042501	0.769410316158	0.718168164193	0.107354695225	0.00135762376727	0.0350965549987
FBgn0029763	1	burg	1	24.95	109.298298523	4.01225114657	1053.08145659	0.588174883034	0.496658190375	0.110546882963	0.0184589816049	0.0975284958342
FBgn0029765	1	burg	1	23.2093023256	247.60094504	6.38557717731	742.039628369	0.63802044874	0.55758054846	0.292461437324	0.0103294730742	0.0727994229551
FBgn0029766	0	burg	1	22.6818181818	5562.55399352	12.6365986508	9756.45298936	0.76320560932	0.710584633614	0.467171059823	0.00152992924587	0.0358280252248
FBgn0029768	0	mle	1	23.9041916168	102.400872286	23.6071270612	1238.31620533	0.786334060291	0.738852740355	0.0730621008083	0.000963404870119	0.031842680797
FBgn0004687	1	burg	1	20.0603015075	297.886765264	10.1414354522	4419.18047269	0.640262476692	0.560320804846	0.0595714644332	0.0100446736584	0.072239399336
FBgn0029769	0	default	1	24	614.137199768	4.75814909986	1354.10511264	0.667655390742	0.593801033129	0.411927453231	0.00703313371616	0.0618118425674
FBgn0029785	0	default	1	24	1935.7629436	2.5308812059	16646.0656014	0.508268598492	0.398994953712	0.115534065872	0.0409992339925	0.145760370237
FBgn0000394	0	burg	1	21.3475935829	78.2225728459	6.91891689605	1417.86906377	0.486908008736	0.372887566233	0.0537187388623	0.0496453482565	0.162121768019
FBgn0029791	0	mle	1	24.6419753086	187.732660843	5.61198288649	1267.84630936	0.717638531751	0.654891538807	0.13474570642	0.0033777261942	0.046683782811
FBgn0029821	0	default	1	24	10.9345387866	3.83894815395	33.6082609301	0.555250470802	0.456417242092	0.321480478025	0.0260927429929	0.114972238833
FBgn0014340	0	default	1	24	51.5238220432	18.9839252532	254.323798759	0.765464972341	0.713346077306	0.20250787325	0.00146532753581	0.0352635857739
FBgn0029813	0	burg	1	27.7222222222	7.87027927213	1.35783809133	25.3856953348	0.6106189806	0.524089865178	0.360504940905	0.014344535841	0.0853065876554
FBgn0029789	0	mle	1	21.2340425532	51.9963593631	18.8052543685	582.035651477	0.557592810088	0.459280101219	0.0883474382878	0.025480021721	0.113675387107
FBgn0052756	0	burg	1	23.0751445087	78.3248107117	14.7000483621	378.219668987	0.75826754847	0.704549225908	0.167266319228	0.001678832253	0.0372666504622
FBgn0029828	1	yule-walker	1	22.6818181818	1203.9768471	5.80274823167	3367.29922997	0.76910806902	0.717798751024	0.293141939892	0.00136564997527	0.0350965549987
FBgn0029830	0	burg	1	20.9005235602	24.8995622278	18.1696708792	159.634891801	0.494066631446	0.38163699399	0.158570798271	0.0466036527936	0.156330086259
FBgn0029835	0	burg	1	20.3673469388	21.6513060031	4.16098401579	330.442754017	0.780293801365	0.731470201669	0.0577329552685	0.00109217038177	0.0330112540144
FBgn0029840	0	default	1	24	81.2103927565	19.7400506716	1059.40173232	0.546895293365	0.446205358557	0.0873289991021	0.0283722371013	0.119292926671
FBgn0029839	0	default	1	24	204.511671855	17.98841263	747.026142895	0.649880706126	0.572076418598	0.276739053714	0.00889144195286	0.0685341238664
FBgn0028982	0	burg	1	22.9425287356	159.533167507	21.8256345838	2812.55447743	0.535806387241	0.432652251073	0.0628346065339	0.0316334253843	0.126718924438
FBgn0029863	1	burg	1	26.091503268	398.526974228	0.850726347875	571.970475896	0.760676656691	0.707493691511	0.643952271727	0.00160484382513	0.0369499859545
FBgn0029864	0	default	1	24	212.537118128	17.6226500714	1488.49534333	0.616844071266	0.531698309325	0.128913331067	0.013341048864	0.0826411171107
FBgn0014031	1	burg	1	27.5310344828	1252.67680714	0.307857392357	3062.85420731	0.540409525958	0.438278309505	0.415406475265	0.0302461138863	0.123660086633
FBgn0014026	0	burg	1	26.4370860927	2779.74507584	24.4454547677	29600.3282233	0.505102818769	0.395125667384	0.102661255505	0.0422004819652	0.148220101306
FBgn0016974	1	burg	1	26.2631578947	13.2340479611	16.0277041998	28.5244953774	0.499004213247	0.38767181619	0.63216678755	0.0445916282832	0.15275343909
FBgn0029868	0	yule-walker	1	26.2631578947	275.958550712	24.8479095758	2536.18696027	0.576382382269	0.482245133885	0.102581455092	0.0209596034235	0.103105754784
FBgn0031275	0	default	1	24	172.011359154	15.9999387162	1452.38029352	0.521718693281	0.415433958455	0.120446006123	0.0361888957964	0.136458284432
FBgn0010583	0	mle	1	23.7619047619	390.210251271	19.0750979599	2443.58106874	0.756440814188	0.702316550675	0.137995188999	0.00173668203255	0.0378298500672
FBgn0002936	0	mle	1	23.4823529412	1507.62608973	19.6183136023	3895.18366432	0.888746957619	0.864024059312	0.301885124906	5.1097956602e-05	0.00712769224417
FBgn0002563	1	default	1	24	233.337211342	10.0504007866	524.603600685	0.609996713457	0.523329316448	0.403845830597	0.014447982293	0.0855640048765
FBgn0046113	1	mle	1	23.0751445087	13.4353000224	14.1059108768	82.6421783132	0.606204481643	0.518694366453	0.152153797672	0.015091015382	0.087760622543
FBgn0031284	1	mle	1	21.9340659341	38.8670179757	17.609038703	272.191294608	0.680211814184	0.609147772892	0.119721659404	0.00591399384942	0.0575037729731
FBgn0000442	1	burg	1	26.6133333333	36.4760696426	3.22324737214	71.142441797	0.791777718533	0.74550610043	0.431276791124	0.000857773061562	0.0303164220798
FBgn0026438	0	default	1	24	1166.23835806	17.2890407611	11725.5761327	0.525584133672	0.420158385599	0.107705996289	0.0348912415169	0.133331518205
FBgn0002593	0	burg	1	25.7548387097	5331.53099057	1.84918857928	30836.5026037	0.731508190749	0.671843344249	0.149000271915	0.00269271063999	0.0425488684805
FBgn0027592	0	burg	1	26.2631578947	55.3261135191	9.97042695266	702.842134669	0.599543885077	0.510553637317	0.078975953304	0.0162741076171	0.091047548339
FBgn0031268	1	burg	1	21.1216931217	53.1890429227	13.9071422933	642.703950312	0.661498867403	0.586276393493	0.0718516281773	0.00763871958697	0.0643479825892
FBgn0023489	0	burg	1	22.0552486188	197.599109748	18.3330980503	1166.7769767	0.836206536679	0.799807989274	0.141960750592	0.000291296017167	0.019648121496
FBgn0013323	0	burg	1	27.9160839161	15.4171449866	26.7838217844	58.2495065773	0.64767750349	0.569383615377	0.238549288257	0.00914601029599	0.0693797053467
FBgn0031267	1	mle	1	25.5897435897	40.3400655915	0.635018128698	291.899996097	0.63620201706	0.555358020851	0.13136430087	0.010565043527	0.073496222895
FBgn0031260	1	burg	1	22.8114285714	237.818946648	6.34671380282	1587.99710148	0.553245400903	0.453966601103	0.165354643965	0.0266262891609	0.116154918515
FBgn0031249	0	burg	1	27.5310344828	14.5520853587	1.57935833797	17.518013068	0.754441758791	0.699873260745	0.712292820144	0.00180175324763	0.038054124984
FBgn0031216	0	burg	1	21.8142076503	270.126709363	14.5300982388	1945.60500702	0.70117167657	0.634765382474	0.118452994544	0.0043591108396	0.0512918472011
FBgn0031228	1	burg	1	27.9160839161	254.265630904	27.4987430474	1951.07328903	0.64714129942	0.568728254846	0.121728513387	0.00920881476312	0.069614860143
FBgn0031229	1	mle	1	20.3673469388	39.3953460026	9.30315725203	699.293070341	0.49560984209	0.383523140333	0.0562440541681	0.0459673763452	0.155084179217
FBgn0031233	0	burg	1	21.5783783784	57.5809758171	5.01800638788	715.870433853	0.564877745301	0.468183910924	0.0725489093318	0.023645626919	0.109994081899
FBgn0025686	0	mle	1	23.6213017751	18.0775181107	9.36044823126	73.2385665535	0.530127943134	0.425711930497	0.244726701486	0.0334124470094	0.129892463313
FBgn0031239	1	mle	1	20.7916666667	76.9715685966	17.1958775077	631.39339342	0.537909259436	0.435222428199	0.131899369265	0.0309936480944	0.125643189845
FBgn0031232	1	yule-walker	1	22.1777777778	11.2205338899	22.130490962	88.1697707315	0.562616464969	0.465420123851	0.124266690148	0.0242036540311	0.11121294102
FBgn0031227	0	default	1	24	22.0876994598	15.0019693803	115.405504119	0.528264181552	0.423433999674	0.221823483832	0.0340129921446	0.131370026631
FBgn0051974	0	mle	1	21.5783783784	309.988121272	7.0491539683	980.089958523	0.612620025719	0.52653558699	0.282764045676	0.0140157791933	0.0847494527228
FBgn0036975	0	default	1	24	904.642003797	2.53760807291	2764.14629035	0.516591166971	0.409166981853	0.334963914126	0.0379678161418	0.139909226451
FBgn0036993	1	burg	1	27.156462585	271.038777229	3.03650112333	851.34086588	0.746581765795	0.690266602639	0.288623711791	0.00207620566693	0.0393001934345
