x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0025373	0.0975970303608865	0.00432043650793651	20	10	94.9998895996677	479.903064656267	647.81045547074	689.709945053763	538.160299081997	534.383633304723	507.36618667763	535.957455426007	668.73376560052	679.070691723468	523.555430117568	499.740212627633	545.925934131685
FBgn0259229	0.0975970303608865	0.00432043650793651	24	4	93.4757548355333	205.534241832583	145.98545475397	128.567290728468	41.9098286010758	30.0489277086242	58.5972215599517	264.378245766763	218.255145430979	152.635155479128	35.2393077963747	57.5908795221436	71.5066714731678
FBgn0259722	0.0975970303608865	0.00432043650793651	28	26	92.4026235254888	667.016784815175	558.597122009981	463.377943667188	486.725509435222	477.534310612731	509.509987466409	657.345132470669	598.892119062606	493.208835731877	444.015278234322	417.998319112332	476.481955104859
FBgn0026089	0.0975970303608865	0.00432043650793651	28	22	81.4342989685698	607.877215231271	563.66606141116	488.823553290531	486.725509435222	596.105755084599	678.870249779928	640.885786430715	614.606489533637	567.968911884919	549.733201623446	585.197646757265	627.74606783656
FBgn0038055	0.0975970303608865	0.00432043650793651	24	22	80.6644989044922	743.607374932033	667.072425195222	609.35538834847	652.459831630385	690.313204117043	744.613473969142	785.93377340781	569.209419283993	603.272281179411	685.656245980891	733.819271330539	761.82107684875
FBgn0035867	0.0975970303608865	0.00432043650793651	24	20	78.0976954118443	554.554652491686	472.425152189929	385.701872185405	434.338223683877	541.69283193655	573.824011129771	543.158419318487	441.748414352301	421.563762751878	479.254586030696	558.259977303359	503.984521056077
FBgn0004003	0.0975970303608865	0.00432043650793651	28	2	77.6201681875685	277.277326245843	236.212576094965	184.815480422173	163.829329986024	107.20157993347	85.7520315511488	232.488262814352	256.668051026831	171.325174517389	168.141840056988	117.039529351453	119.6361618878
FBgn0266570	0.0975970303608865	0.00432043650793651	24	8	73.2897735046704	468.26905096763	546.43166744715	649.532666701116	462.913106820974	429.618452915195	358.014731726046	503.038763346099	539.52671950538	540.972217718543	400.721271513061	417.998319112332	388.47374406096
FBgn0037236	0.0975970303608865	0.00432043650793651	24	16	72.5394853762528	153.181180233717	144.971666873734	176.780024751644	318.133698926348	272.87674892156	195.80047204179	106.985749259702	138.810272494103	157.826827434201	323.194794361037	239.652369624404	185.642320170724
FBgn0037297	0.0975970303608865	0.00432043650793651	24	22	71.656641114925	806.624949078816	789.740758703766	695.066915500782	711.514590113719	772.338655429774	943.986947325563	869.259212735078	787.464564714972	753.83076787651	782.312633079519	845.285489760494	906.209548092646
FBgn0085209	0.0975970303608865	0.00432043650793651	28	22	67.218827994767	111.492631182769	41.5653030896719	29.4633374586073	54.2922779604846	100.704514482957	185.796068360822	142.990568722102	51.508214321711	22.8433566023185	56.3828924741996	80.8130083617176	140.950650499994
FBgn0037960	0.0975970303608865	0.00432043650793651	28	6	66.5448611202784	338.355898111186	431.873636980493	405.790511361728	360.996023631994	286.683013003901	274.406500963676	308.61273824914	341.351047454051	360.302033682024	355.41359006058	298.17213430013	256.461427495112
FBgn0261938	0.0975970303608865	0.00432043650793651	28	16	66.3913715304727	888.063044899273	890.10575884712	946.844526510699	982.975979916142	1050.90033662053	951.132949954825	863.086957970096	814.528202748413	874.27755723419	949.447635770896	977.187181569275	968.090321482888
FBgn0029930	0.0975970303608865	0.00432043650793651	28	24	63.6866504761491	556.493654773125	501.82500071677	431.236120985071	461.008114611834	464.540179711704	584.543015073664	540.072291935995	514.209122635386	495.285504513905	432.940067212604	500.669097781216	533.549779453637
FBgn0040396	0.0975970303608865	0.00432043650793651	28	0	61.3794071958278	403.312474539408	357.867121723272	377.666416514876	261.936428756724	302.11354344887	307.992713321209	400.167850596385	403.335508756449	332.267005124633	253.723016133898	246.154565699485	293.589891529256
FBgn0039131	0.0975970303608865	0.00432043650793651	24	20	60.4856319936702	401.373472257968	298.053636789354	263.830794515711	407.66833275592	445.048983360164	428.045557492818	427.942997038808	382.383014795075	269.966941663764	412.80331990039	467.229232252229	453.104774046323
FBgn0036773	0.0975970303608865	0.00432043650793651	24	10	57.7298979098326	650.535265422939	720.803182847724	747.297377359222	778.189317433613	677.319073216016	618.843827694124	659.402550725663	657.384498038109	750.715764703467	666.526336034288	659.508459043902	535.612471899978
FBgn0052580	0.0975970303608865	0.00432043650793651	28	16	54.3412539212509	57.2005673024641	68.9375758560412	99.103953269861	143.826911790056	147.808238999179	167.931061787666	73.0383480522965	47.1431114130915	102.795104710433	132.902532260613	137.475002730278	162.265139112189
FBgn0264986	0.0975970303608865	0.00432043650793651	28	20	52.8041344260787	190.022223581067	125.709697149252	107.13940894039	189.546724809411	242.015688031622	226.528283347618	212.942789391907	189.44546623409	136.021805222896	185.25807527237	211.785815016915	199.393603146333
FBgn0030361	0.0975970303608865	0.00432043650793651	24	18	50.7777163924872	385.861454006453	394.363485411765	381.68414435014	416.240797697049	466.976579255647	541.66699929809	409.426232743859	350.954273853014	399.758740540574	463.145188180925	465.371461945063	440.041055219494
FBgn0014340	0.0975970303608865	0.00432043650793651	24	20	50.274893205385	218.137756661939	207.826515448359	174.101539528134	239.076522247046	285.058746641273	334.43292304948	246.890190599312	207.778898450292	231.548569196228	254.729853499509	300.958789760879	351.345280026815
FBgn0037950	0.0975970303608865	0.00432043650793651	24	18	48.7550486924493	559.402158195284	536.293788644791	379.005659126631	574.355151055653	615.596951436139	599.549620595115	571.962274888407	486.272464020221	494.247170122891	585.979346785431	595.415383446678	573.428500082904
FBgn0034660	0.0975970303608865	0.00432043650793651	24	6	46.0404329297179	78.5295923982982	112.530454706185	147.316687293037	62.8647429016138	43.0430586096509	46.4490170902056	79.2106028172793	108.254552133766	125.638461312752	48.3281935493139	41.7998319112332	31.6279508439012
FBgn0086895	0.0975970303608865	0.00432043650793651	24	16	43.6810194551326	390.708959710051	405.51515209436	454.003245384904	483.868021121512	504.334705596098	488.786579841548	430.000415293802	409.446652828517	454.790463264341	480.261423396307	496.953557166884	442.103747665836
FBgn0037911	0.0975970303608865	0.00432043650793651	24	20	42.9273017178883	362.593426629179	305.150151951006	241.063670115878	340.041109331456	373.581263404517	371.592136721645	320.957247779106	280.239606733377	303.193642176227	329.235818554701	369.696291126018	363.033870556083
FBgn0026150	0.0975970303608865	0.00432043650793651	28	26	42.615485157245	413.007485946605	364.963636884924	391.058842632425	295.273792416671	348.405134783778	374.45053777335	449.545888716248	372.779788396112	357.18703050898	319.167444898594	311.176526450292	339.656689497547
FBgn0038678	0.0975970303608865	0.00432043650793651	28	20	42.363552832863	349.989911799823	292.984697388175	313.382771150642	340.041109331456	378.454062492402	414.468152497219	351.81852160402	302.938141858199	315.653654868401	342.32470430764	349.260817747193	386.411051614619
FBgn0036264	0.0975970303608865	0.00432043650793651	24	12	40.6051129842779	76.5905901168587	94.2822728619387	141.959716846017	136.206942953496	108.825846296099	50.0220184048368	60.6938385223309	102.143408061698	120.446789357679	150.018767475995	108.679562969206	39.1911564804862
FBgn0032801	0.0975970303608865	0.00432043650793651	24	6	39.5458359412662	253.03979772785	240.267727615908	278.562463245015	207.644150796239	198.972629421971	167.931061787666	234.545681069347	294.20793604096	244.008581888402	232.579431456073	178.345949487928	202.143859741455
FBgn0031267	0.0975970303608865	0.00432043650793651	24	4	39.0272869697863	325.752383281829	300.081212549826	306.686558091867	274.318878116133	236.330755762423	295.129908588537	363.134322006488	337.858965127155	292.810298266082	271.846088714891	221.074666552745	277.775916107306
FBgn0261380	0.0975970303608865	0.00432043650793651	28	16	37.783970381081	461.482542982592	444.039091543324	464.717186278943	520.062873095168	536.007899667351	489.501180104474	461.890398246213	433.018208535062	408.065415668689	464.152025546536	532.251193003036	464.793364575591
FBgn0036121	0.0975970303608865	0.00432043650793651	24	2	37.6601135826174	276.307825105123	262.571060981098	297.311859809583	151.446880626615	206.281828053799	229.386684399323	316.842411269117	255.795030445107	241.931913106373	140.957231185499	209.928044709749	217.957835163406
FBgn0044823	0.0975970303608865	0.00432043650793651	24	12	31.4793585208277	286.97233765304	288.929545867231	314.722013762397	414.335805487909	301.301410267556	256.54149439052	240.717935834329	299.446059531303	292.810298266082	331.249493285923	297.243249146547	245.460401114624
FBgn0267495	0.0975970303608865	0.00432043650793651	24	6	31.3690409988419	53.3225627395852	71.9789394967489	53.5697044701952	29.5273792416671	15.4305304449692	11.4336042068198	59.6651293948338	63.7305024658459	61.2617290698541	23.1572594090463	13.0043921501614	8.93833393414598
FBgn0035308	0.0975970303608865	0.00432043650793651	24	10	26.1058393982416	59.1395695839036	89.2133334607591	111.157136775655	91.4396260387109	64.1585213238193	46.4490170902056	54.5215837573481	75.0797700282568	90.3350920182595	75.512802420803	46.444257679148	33.0030791414621
FBgn0262540	0.0975970303608865	0.00432043650793651	28	22	26.0753688225003	37.8105444880695	23.3171212454257	17.4101539528134	26.6698909279574	63.3463881425051	105.046238650157	49.3780381198624	37.5398850141284	30.1116973394198	22.1504220434355	60.3775349828924	105.19731476341
FBgn0023541	0.0975970303608865	0.00432043650793651	28	14	25.1756669204544	31.9935376437511	35.4825758082565	45.5342487996659	94.2971143524206	73.0919863182751	63.5994234004354	36.0048194623997	27.0636380334414	53.9933883327528	82.560663980078	74.3108122866368	70.8191073243874
FBgn0000092	0.0975970303608865	0.00432043650793651	24	16	22.0017077745753	32.9630387844708	32.4412121675488	45.5342487996659	63.8172390061837	90.1467831258726	48.5928178789843	39.0909468448911	31.428740942061	31.1500317304343	67.4581034959174	70.595271672305	51.5673111585345
FBgn0028899	0.0975970303608865	0.00432043650793651	24	8	21.8381887818685	50.414059317426	74.0065152572207	77.676071481783	53.3397818559147	49.5401240601642	35.730013146312	34.9761103349026	80.3178935186003	89.296757627245	62.4239166678638	41.7998319112332	39.8787206292667
FBgn0040964	0.0975970303608865	0.00432043650793651	28	20	21.690662016905	192.930727003226	181.468030562226	196.868663927967	188.594228704841	225.773024405339	237.961887554438	208.827952881918	206.905877868568	176.516846472461	206.401659950195	210.856929863332	232.396682287795
FBgn0054057	0.0975970303608865	0.00432043650793651	28	6	20.7994291644878	97.9196152126928	127.737272909723	109.8178941639	92.3921221432808	75.5283858622176	71.460026292624	82.2967301997707	121.349860859624	93.4500951913029	106.724760754735	91.0307450511301	77.694748812192
FBgn0051105	0.0975970303608865	0.00432043650793651	24	14	19.7062742874294	34.9020410659103	39.5377273292001	62.9444027524793	80.962168888442	73.0919863182751	56.453420771173	39.0909468448911	45.3970702496436	39.4567068585501	75.512802420803	68.7375013651391	41.2538489268276
FBgn0033890	0.0975970303608865	0.00432043650793651	24	22	19.4434251630709	97.9196152126928	84.1443940595797	62.9444027524793	65.7222312153235	104.765180389528	110.048440490641	93.6125306022392	80.3178935186003	70.6067385889844	73.4991276895816	94.746285665462	101.071929870728
FBgn0037667	0.0975970303608865	0.00432043650793651	24	16	18.3331651942357	81.4380958204573	65.8962122153335	72.3191010347635	124.776989698658	111.262245840041	97.1856357579686	68.923511542308	87.3020581723916	88.2584232362305	101.690573926681	104.035137201292	88.0082110438989
FBgn0030452	0.0975970303608865	0.00432043650793651	28	8	18.2644241780738	60.1090707246233	83.1306061793438	112.49637938741	98.1070987707003	72.279853136961	64.3140236633616	75.0957663072908	78.5718523551524	101.756770319419	116.793134410842	78.9552380545517	72.1942356219483
FBgn0040360	0.0975970303608865	0.00432043650793651	24	6	17.8678518038737	25.207029658713	42.5790909699078	38.8380357408915	7.61996883655924	4.87279908788501	6.43140236633616	30.861273824914	27.9366586151653	33.2267005124633	7.04786155927495	6.50219607508072	10.3134622317069
FBgn0034095	0.0975970303608865	0.00432043650793651	24	20	16.5269946257249	72.7125855539798	67.9237879758053	38.8380357408915	85.7246494112915	86.0861172193018	95.7564352321162	79.2106028172793	60.2384201389502	65.415066633912	85.5811760769101	95.675170819045	112.072956251215
FBgn0036008	0.0975970303608865	0.00432043650793651	24	8	16.267761135428	133.791157419323	139.902727472554	172.762296916379	148.589392312905	128.317042647639	122.911245223313	129.617350064639	151.032560638237	187.93852477362	145.991418013552	117.968414505036	131.324752417068
FBgn0034454	0.0975970303608865	0.00432043650793651	28	16	16.1052759168601	33.9325399251906	37.5101515687283	34.8203079056268	60.959750692474	90.1467831258726	50.0220184048368	42.1770742273825	33.1747821055088	39.4567068585501	81.5538266144673	73.3819271330539	66.0061582829242
FBgn0034942	0.0975970303608865	0.00432043650793651	24	22	16.0565591558617	34.9020410659103	25.3446970058975	6.69621305877439	7.61996883655924	24.363995439425	36.4446134092382	50.4067472473596	19.2064527979261	15.5750158652172	7.04786155927495	26.9376694539059	46.7543621170713
FBgn0037898	0.0975970303608865	0.00432043650793651	28	22	13.6128492816293	95.0111117905336	81.103030418872	50.8912192466854	86.6771455158614	99.8923813016427	82.1790302365176	114.186713152182	87.3020581723916	79.9517481081147	73.4991276895816	91.9596302047131	102.447058168289
FBgn0030803	0.0975970303608865	0.00432043650793651	24	10	10.172185585691	101.797619775572	112.530454706185	139.281231622507	110.489548130109	112.886512202669	99.3294365467474	104.928331004708	122.222881441348	119.408454966665	115.786297045231	107.750677815623	95.5714166804839
FBgn0035943	0.0975970303608865	0.00432043650793651	24	6	9.53154999077105	23.2680273772735	29.3998485268411	30.8025800703622	22.8599065096777	15.4305304449692	8.57520315511488	22.631600804937	34.9208232689566	40.4950412495646	22.1504220434355	11.1466218429955	18.5642320170724
FBgn0038510	0.0975970303608865	0.00432043650793651	28	18	9.35997761534354	42.6580501916681	48.6618182513232	46.8734914114208	60.0072545879041	66.5949208677618	60.7410223487304	50.4067472473596	41.031967341024	38.4183724675356	60.4102419366424	54.8042240613947	67.3812865804851
FBgn0267551	0.0975970303608865	0.00432043650793651	24	18	8.90880873147946	41.6885490509484	31.4274242873129	26.7848522350976	42.8623247056457	52.7886567854209	38.588414198017	31.8899829524112	30.5557203603371	38.4183724675356	46.3145188180925	54.8042240613947	43.316541373169
FBgn0265977	0.0975970303608865	0.00432043650793651	28	12	8.31204539640332	18.4205216736749	27.3722727663693	42.8557635761561	34.2898597645166	27.6125281646817	23.5818086765659	20.5741825499427	23.5715557065457	28.0350285573909	28.1914462370998	30.6532100682377	31.6279508439012
FBgn0033302	0.0975970303608865	0.00432043650793651	28	4	7.30628949489649	46.5360547545471	60.827272814154	45.5342487996659	42.8623247056457	37.3581263404517	28.5840105170496	41.1483650998854	53.2542554851589	59.1850602878252	47.3213561837032	22.2932436859911	29.5652583975598
FBgn0266786	0.0975970303608865	0.00432043650793651	24	20	5.7824070200415	29.0850342215919	25.3446970058975	17.4101539528134	23.8124026142476	29.23679452731	35.730013146312	26.7464373149255	20.952493961374	28.0350285573909	29.1982836027105	35.2976358361525	37.1284640341448
FBgn0283427	0.138949132207917	0.0089799031986532	24	6	17332.4553080864	44366.3112016163	47205.0050674242	44126.7048147115	28644.4153527308	22491.2163233146	20149.5836137312	51587.7053257263	57253.5627700361	46358.5155556234	26541.2397948638	21575.2154622714	20858.6335815528
FBgn0038914	0.138949132207917	0.0089799031986532	28	2	6106.18177136371	13367.4817282436	11050.2878945713	8502.85134203172	5397.79542459765	635.088147787679	234.388886239807	11852.786567022	13406.1040529525	10448.7589767787	2161.67982396619	600.059809214593	481.982468295102
FBgn0261599	0.138949132207917	0.0089799031986532	24	6	3369.3586388272	24504.1413316912	25243.3182178739	24556.3525291375	21381.6325553852	21626.294485215	20442.5697215309	27680.5052026929	28521.5824049203	25745.501225204	20952.2855783588	19935.7331661975	20656.4897218114
FBgn0000064	0.138949132207917	0.0089799031986532	24	4	3138.96542521487	32470.5322049852	41157.760361817	36709.979230813	29992.1973406972	30178.0568844532	34159.3217684001	36823.6719278874	37233.4547899433	34992.9073115789	33544.8005100519	31111.1504489541	32356.0812774597
FBgn0087005	0.138949132207917	0.0089799031986532	28	24	2425.44950694149	10970.8749083845	10399.4360754599	7539.93590417997	7619.01634045467	8288.6312484924	11611.5396722885	11874.3894586994	11651.3326836874	8094.85491234886	7222.0444235256	8855.99105425995	12230.3910785068
FBgn0035499	0.138949132207917	0.0089799031986532	24	2	2280.03785241846	10152.615945617	9097.73243723696	9161.75870701513	5855.94605089578	6579.90303500739	9577.7873240004	9856.06215055004	9828.46570904784	8295.25344981466	5464.10638316931	6303.41465221397	10477.1024991167
FBgn0023477	0.138949132207917	0.0089799031986532	28	2	2068.10724610357	5833.48836371062	6391.93258488735	5780.17111233406	3822.36686763903	3223.35659663593	2924.8588761571	7105.29394362271	7139.56231733818	5084.72351279789	4617.3561586907	3384.85749965631	2922.14763231696
FBgn0250753	0.138949132207917	0.0089799031986532	24	8	1944.69312725467	10104.140888581	12516.2251693924	14801.3093451149	12139.5628527434	8568.81719604579	9786.45060077486	9840.63151363759	12262.4470908941	14570.9465091062	11144.6827999449	8711.084970301	10963.2103523044
FBgn0284257	0.138949132207917	0.0089799031986532	24	20	1937.1059630738	9696.95040947874	8050.48955695328	7277.44435227601	8321.95846562726	11330.8821456953	11173.4897111147	10074.1484855794	8245.67939438238	8829.99566118711	8581.27486710005	11124.3285993095	11344.1208907288
FBgn0031775	0.138949132207917	0.0089799031986532	24	18	1360.60601436214	1817.81463884949	1509.53015367125	1374.06291966051	2938.45048259816	3740.68543313306	4062.50249473567	1575.98238332561	1210.87954685107	1154.6278428081	2628.85236160956	3118.267460578	3701.15781288522
FBgn0033188	0.138949132207917	0.0089799031986532	28	22	1352.31303546366	7279.98406566446	4715.12743097717	4435.57153013216	5858.80353920949	6327.32961561868	6752.25788439004	7553.81112321146	4786.77184959223	4460.68454379819	5324.15598934942	6324.77901074638	6351.71760643389
FBgn0261873	0.138949132207917	0.0089799031986532	24	20	1349.01331114626	8896.14246724425	7343.87940442886	6567.64576804593	7822.85050683263	9384.19891008521	9079.71094074081	7664.91170898115	6341.62150564252	6914.2687097654	7039.80686035006	8819.76453327021	8905.33085500452
FBgn0001258	0.138949132207917	0.0089799031986532	28	12	1220.05928841955	1117.83481524985	1814.68030562226	2067.79059254953	6586.5105631009	3492.17267965092	1414.19392033103	1117.17811246189	1003.9736689825	1119.32447351361	5291.93719364987	2288.77301842842	1137.23110208288
FBgn0027348	0.138949132207917	0.0089799031986532	28	2	1212.85412880973	3317.63290354292	3296.83818652714	2422.68988466458	2000.2418195968	1400.92973776694	1310.57688220672	4024.31010676879	4578.99295114194	3040.24309689039	1839.49186697076	1244.70610580117	1278.18175258288
FBgn0003091	0.138949132207917	0.0089799031986532	24	20	1181.5915509685	6027.38859185456	4107.86849071586	4387.35879610898	4798.67537482318	6089.37459349363	6182.0068745749	4924.43059332878	3321.8433134595	3882.33228800313	4544.86386836673	6552.3558733742	5451.69613568027
FBgn0033978	0.138949132207917	0.0089799031986532	24	6	1029.99125047715	2436.35636662868	2264.802124447	3133.82771150642	1149.66279821588	958.317153950718	980.431560734801	2676.70114974754	2436.60044359145	1399.67475908751	1208.20483873285	921.454072354297	965.340064887766
FBgn0000206	0.138949132207917	0.0089799031986532	24	0	1016.44411618552	4403.47418114902	3687.14652041797	2591.43445374569	2446.96249264009	3374.41336836037	5101.53127703043	4541.75079789985	3417.87557744913	3134.73152647271	2273.43877154898	3640.30091689162	4995.15354089004
FBgn0265048	0.138949132207917	0.0089799031986532	24	6	948.811030072294	4283.25603969977	4551.90758225919	4778.41763874141	3269.91912698849	3319.188312031	3024.18831270385	4395.67410179525	4799.86715831809	4466.91455014428	3121.19583339319	3265.03131484411	3121.54123546329
FBgn0032479	0.138949132207917	0.0089799031986532	24	22	869.537802301719	7046.334290751	6832.93031278996	5212.33224494999	5354.93309989201	6723.6506081	8034.96535634264	6872.80568080835	5971.46077899158	6580.96337024975	5592.98156596748	6543.06702183837	7645.71333443872
FBgn0265988	0.138949132207917	0.0089799031986532	24	22	848.574682624346	5827.6713568663	3591.85045967579	3127.13149844764	3159.42957885838	4494.34502539261	4162.54653154535	4704.28684004439	3178.66793805678	2965.48302073735	3171.53770167373	4040.65041808588	3729.34794298522
FBgn0027356	0.138949132207917	0.0089799031986532	28	20	848.495261415151	6157.30174471101	5170.31818920309	5675.71018861718	4767.24300337238	6439.40399464004	7252.47806843841	6379.02529960973	5560.26808499962	5053.57348106746	4475.39209013959	6181.7306970946	7134.16560774605
FBgn0011225	0.138949132207917	0.0089799031986532	24	4	839.816971531061	8211.67466189612	8560.42486071194	9301.03993863763	7338.98248571112	6536.04784321642	7527.59916966501	7908.71577219797	8133.05973934	8491.49864971639	7223.05126089121	6710.26634948331	7676.65372113384
FBgn0000711	0.138949132207917	0.0089799031986532	24	22	825.844559427493	6139.85072417805	4657.34152180372	3988.26449780603	4360.52716672103	4611.29220350185	5546.01264057055	5153.83272876064	4141.60963969826	4102.4591788982	3947.80931055958	5151.5970617711	5360.93766804125
FBgn0031305	0.138949132207917	0.0089799031986532	28	2	799.337394018894	2448.95988145804	2357.05682154847	2314.21123311243	1763.0702895589	1446.40919592053	972.570957842613	3209.57247779106	3639.62280520701	2403.74411519851	1829.42349331465	1452.77638020375	1082.91353432922
FBgn0053558	0.138949132207917	0.0089799031986532	24	20	787.37820932791	4202.78744502003	3803.73212664509	3601.22338300887	3653.77505713016	4754.22764341314	6368.51754319865	4187.87485804083	3481.60607991498	4458.60787501616	3799.80421781481	4855.28269777814	6211.45452008268
