baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0011576	949.940851670108	0.191331914964895	0.0604353268093115	3.16589526467847	0.00154606450424026	0.0124229914610849	0.197183279161222	5.37813961573926	0.00186638795334641	0.0153181352332064
FBgn0003048	1204.31587427125	-0.231024805885738	0.0704433357243968	-3.27958356188017	0.00103960417754265	0.00889047215402097	-0.225854723465688	5.7184525178665	0.0015038802325177	0.0128096726443078
FBgn0023541	47.8378492025192	0.518511111184119	0.174236788619241	2.97589915019163	0.00292130912420863	0.0204181796324271	0.523456794243647	1.12684116292233	0.00286358313032385	0.021461188749798
FBgn0013432	751.257572314573	0.225282557404745	0.0811168911999118	2.77725827595559	0.00548195989354624	0.0330643651513765	0.230723454354591	5.03986074362188	0.00505589843953506	0.0330774557744992
FBgn0000928	26.840167785975	0.94798701817091	0.198053456183934	4.78652095467854	1.69697228856466e-06	3.76240754163711e-05	0.951409370263312	0.349473878834934	1.3938832811009e-06	3.3799022952872e-05
FBgn0003996	105.451377094145	-1.05431954105376	0.287184930833142	-3.67122166889159	0.000241393861684084	0.00261842628223121	-1.02548596714306	2.22727789458239	0.000354548319273277	0.00386813582128198
FBgn0040384	1623.61803183487	-0.206086356856354	0.0524855615234064	-3.92653428628077	8.61786127111948e-05	0.00107897876150042	-0.200681116001502	6.14864829407798	0.000194572011706053	0.00232665354684332
FBgn0024992	1168.11911227871	0.233245617415338	0.0803759302953483	2.90193365797766	0.00370867071545106	0.0243255342163427	0.238589260012853	5.67540569760215	0.00335307708681284	0.0240928524662366
FBgn0004647	703.344652342933	-0.350515086326177	0.0606313632467129	-5.78108535841275	7.42202179530571e-09	3.07740799807091e-07	-0.345104128716635	4.94371437016388	2.33111035633246e-08	9.18822016170876e-07
FBgn0028746	526.984684452773	-0.159046265643825	0.0554180842349428	-2.86993438765502	0.00410556980707518	0.026215431741444	-0.153373734457354	4.52822130494859	0.00707253445056963	0.0427884877441338
FBgn0029648	256.333724157421	0.484521872394967	0.122760591420734	3.94688447479353	7.91747355628387e-05	0.00100772239342458	0.489441898359651	3.49615787975757	6.92585635005042e-05	0.000984211455797966
FBgn0029664	657.869028532912	0.364552081918648	0.088677058846335	4.11100781488893	3.93935865686773e-05	0.000574294934786593	0.369154276158759	4.84929552746538	3.64213741897921e-05	0.000579474953471476
FBgn0029688	5124.20073165572	-0.15936284826898	0.0414617193352094	-3.84361408123394	0.000121235602751251	0.00144747701284286	-0.153989158863726	7.80642695798437	0.000911022829391764	0.00847986069962518
FBgn0019661	16973.8386205264	0.399210994953735	0.110191687154316	3.62287759869459	0.000291343708224411	0.00307322691340684	0.405661859378283	9.53495662159461	0.000315816511099983	0.00350915376254714
FBgn0026084	3226.09547108752	0.55206791689668	0.118291728644792	4.66700354472322	3.05624059563193e-06	6.26823820663011e-05	0.557575839890169	7.13977959466219	2.88711361415982e-06	6.52188070670347e-05
FBgn0026085	26.0634199961692	0.700834292020573	0.214156219617418	3.27253765159185	0.00106586675082179	0.00909071392642128	0.704610791669211	0.309242751443726	0.00103726090330089	0.00940803497331051
FBgn0066114	448.424441698491	-0.169470458827067	0.0522275490159185	-3.24484801642547	0.00117513325157018	0.00981292614083626	-0.163633574692872	4.29729693984065	0.00289017066884237	0.0216266052079471
FBgn0029710	294.984745022124	0.234829424304091	0.0542628987816998	4.32762402260912	1.50726475691824e-05	0.000252387794436415	0.239897726291937	3.69723103791695	2.79070817271094e-05	0.000462446416578294
FBgn0024332	78.6336279305111	0.379012802527868	0.121493839756287	3.11960510333822	0.00181093641184215	0.0140788546693378	0.384423672142385	1.82355358567043	0.00218783740070376	0.0173581036098783
FBgn0026751	416.786885887363	0.297225999833183	0.0590583173188869	5.03275428976928	4.83482646995874e-07	1.21225046935248e-05	0.302608207353627	4.19383654535888	9.94182998109927e-07	2.49274470049657e-05
FBgn0029761	6522.97452652181	-0.323232922084297	0.087808600160894	-3.68110779003456	0.000232222798721889	0.00253329153320985	-0.317959494240171	8.15377513276053	0.000325897536153569	0.00360444180286245
FBgn0029763	1197.399580642	-0.247764075741209	0.0489424452716887	-5.06235588282981	4.14107082417088e-07	1.05533031865327e-05	-0.242186334846512	5.71026942446845	2.60790297232584e-06	5.98591518029019e-05
FBgn0029765	939.636655832895	-0.387908847637077	0.122716426896603	-3.16101810855294	0.00157218724003752	0.0125591404379311	-0.382548238647995	5.36089431147579	0.00186272091862947	0.0153011500502856
FBgn0029766	5427.71550471993	0.928687655050337	0.221761619478749	4.18777449963261	2.81703203850158e-05	0.000428278299440765	0.9338924612312	7.8913155066257	6.03781851301378e-06	0.000122781795578866
