pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0024985	0.0207571954434209	0.0428276928840578	0.096951239722404	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	4440.70177284422	5428.13838480628	6906.92125294995	5242.96549015698	5734.86207499545	6062.34675935448	4594.54769753993	5873.80638805306	6895.57580236613	5789.00306822162	5711.33283359122	6515.0791322566
FBgn0027795	0.00481819801993169	0.0177697990330142	0.0393991719214503	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	262.851933618787	172.523635515757	301.173891843748	296.090337598397	246.489124435488	186.880979774591	213.918300703086	141.389374071397	157.775740414229	82.2978363608013	136.33577482215	109.221779249901
FBgn0024365	0.0276910594535938	0.0506775817098253	0.119603431762293	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1082.3943445359	1121.40363085242	1191.31006107083	1138.96770978617	1175.69992446567	1225.10864518898	1054.98244883327	1146.48340279633	1301.86539904637	1135.92671503264	1191.80189823696	1325.2242548988
FBgn0028550	0.000414680616749836	0.00431593780062648	0.0109274200162638	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1710.67457611251	2398.07853366902	3441.74830845883	2128.34274029788	2415.23875885708	2905.23184982915	1675.86727282515	2491.73157783796	3038.26070611881	2081.26896691395	2467.67752428091	3432.29441292814
FBgn0040366	0.0302058651717122	0.0536119797879228	0.17118751389341	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	175.234622412525	160.719386769942	122.14274502552	163.004436726644	172.010396188794	140.837839830126	188.874206962236	140.364813389721	148.291952739057	176.507201668561	148.833220847514	137.437405556125
FBgn0025394	0.000726328701778804	0.00598370998432502	0.0138766934089023	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1533.30294610959	1776.99344581229	2188.53028073124	1567.11227460615	1855.76164548013	2034.02341754663	1445.25290962816	1940.51793109585	2185.58197786923	1665.44832003832	1976.86873492117	2363.74133926661
FBgn0024897	0.000116692830789282	0.00234826942694804	0.00459201047675074	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	180.577141388516	123.49060226391	32.627171616406	33.0135568053962	78.0253343536796	195.909046430368	193.048222585711	82.9894152158203	42.2459632803126	33.5688543050637	57.9427042994136	212.072288043558
FBgn0023130	0.0329179038428578	0.0568276246918176	0.17118751389341	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	417.784983922543	475.802026369771	521.198151718486	416.796154668126	510.711279405903	573.282232641861	412.18404281814	470.273352889648	541.438060000741	477.544024146228	535.117916176938	498.779458574548
FBgn0025390	7.16119137112654e-05	0.0019213607036484	0.00304058404098423	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1713.88008749811	1609.9179251023	3014.24870086951	1567.11227460615	2085.40439090744	3090.30721627258	1830.30585089372	2008.13893608652	3026.19043089586	1477.0295894228	1945.05705412934	3479.6238506031
FBgn0025382	0.00496279679425365	0.0180586543310631	0.0393991719214503	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	356.880267596239	313.266601331242	263.52715536328	345.610672806491	281.068533978596	290.70374631603	309.920660043007	302.245401094654	217.264954013036	387.66612391009	280.624469842258	253.030455262271
