WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0037602	7.98371400511857	6.61570097326583	5.04266910195382	6.12909457787692	7.46205462394916	9.33513533128111	6.24864214981062	5.06124004070318	5.26657451565684	8.0127920926374	7.52136906742672	7.78854826694209	7.62384912843255	5.56582106263571	6.23244692457937	7.46839305642245	7.56954584021127	5.8343287940752	6.75064559087126	7.36420472131374	3.0851410790942	8.30344144905574	5.72107612735951	6.92222318455293
FBgn0035171	19.1871969203606	19.8111813613391	17.0069629498379	18.0881913750708	17.7316333707285	17.6887908758487	18.9241216649527	19.8521351361487	18.135948142598	18.8319062323976	16.3950975744415	14.5952647027857	17.9840482708495	17.3496993769513	17.0861772969459	16.4198611509185	17.3609977981922	17.4275982510027	16.5336598092276	17.1619585067559	17.2156076718464	18.5964208291252	16.906867611551	17.0904460579294
FBgn0000287	6.00104462683078	6.03087306346597	5.54953763257879	5.39472398893416	6.33699532852715	6.62634479519893	7.0445213060947	5.98147257608316	5.4931501112395	5.75106334874856	5.59822999319577	6.55805980269226	6.40176311985865	5.33775163386649	6.2120886487088	5.39681592586183	6.06284807850362	5.56921719344526	5.60108631104482	5.19313852355147	5.69913576816777	5.15235611708612	5.49917422308377	6.07102875698783
FBgn0037046	7.74031923047042	8.08648287618098	6.92068995372604	6.17447445517348	5.97642353300278	7.62110873524354	9.29470242171653	7.22064619964759	4.9047031264493	4.85593347832695	6.96079002705207	9.37361122835751	9.37500942563448	6.45727168586905	6.95295931511256	7.37751458165459	7.24525272231718	8.92637633294867	9.87224416424796	7.60366001148904	6.52617334132071	9.79675340172445	8.41706767224337	8.52476781492284
FBgn0035290	30.7829768854074	30.646261861452	25.042618024015	17.7731335684386	29.6736675104411	29.6920686317348	28.8781463876075	24.0498640231995	21.6938211957064	21.9855634430337	32.5101281401273	28.7051623711455	25.8178533000168	28.3504355643621	16.9099163024345	14.3752528003319	27.2402001592181	23.200839648954	25.2964159065817	32.8702298201533	21.3408255095238	20.6306463693941	28.199630556843	27.1168345895344
FBgn0029930	9.89088509973555	9.49507660678176	8.06040675166108	7.03195083120471	8.08108944407748	7.86185286690033	10.0739828516893	9.09560994670004	9.00062235582385	7.27838399734194	8.32213166980103	8.50848616222563	8.93034705686275	9.35973769384665	10.5250067511761	8.40621363849481	10.0749170039083	9.72882483201152	9.98649775280629	9.27420260947449	8.80283828657326	9.16836662836971	9.96566477515952	9.28790315011318
FBgn0020307	5.50652609022644	6.07266931791382	5.54408273026273	4.31040816888224	5.63140826151184	5.90473280844774	5.92441329127407	7.35704878787578	5.54451185579658	4.63242976629533	5.14950007178194	5.78618123678297	5.22089010616785	6.11567745357588	6.0865220067223	4.97467518145355	5.28937864681895	5.55725454301011	5.1460757727137	5.44650460090876	5.48733586620161	4.67236621553284	4.78535047672354	5.34452911914574
FBgn0040765	2.35240788642057	2.21125081745621	2.07680485855263	1.90331718580101	1.76450481564983	2.02560616742742	2.04138906886243	2.57318569937735	2.29407229898465	2.33725438103396	1.81217049542881	2.0747184044211	1.56355308024897	2.0428538609838	2.05629758535773	1.97679541067385	1.88412903478603	2.13942782838273	1.6737336286416	2.05218292300664	1.99522011083139	1.8747852388014	1.88039874845653	1.81085507805472
FBgn0014464	2.12826752097842	2.20102687411341	2.07167279048017	1.3098891532137	1.54008716924101	1.68415272631579	2.02082220756846	1.83785425465175	1.69838106053067	0.98214993334104	1.19409925175022	1.71210026688607	2.25878736294997	2.17164462351678	2.40495894825519	1.60914899487017	1.63200323828967	1.94809331267005	1.88391534292677	1.65205653287606	1.92421328539827	1.78143481024194	1.44938799131886	1.84368073048609
FBgn0033792	1.55999199693631	1.74760272142509	1.14920650716752	1.02871227539956	1.10059148892504	1.14423527768339	1.52664386956778	1.45349388782149	1.49208747880666	0.992557203379625	1.07817150029047	1.1552321210868	1.6454905157623	1.50307057309054	1.48461993744535	1.67827573810342	1.33723091621627	1.14660194200708	1.39158961167017	1.48388355286337	0.957179201837784	1.43482668336306	1.24768149586032	1.19240614978832
