logFC_INC1	logCPM_INC1	LR_INC1	PValue_INC1	FDR_INC1	logFC_WAKED2	logCPM_WAKED2	LR_WAKED2	PValue_WAKED2	FDR_WAKED2	logFC_WT2U_old	logCPM_WT2U_old	LR_WT2U_old	PValue_WT2U_old	FDR_WT2U_old
FBgn0025631	0.609026256184857	6.80602838047708	328.364978793249	2.1822263728759e-73	5.97181834268725e-71	-0.135003695122036	6.80602838047708	15.8156878863878	6.98211956547842e-05	0.000713711218763632	0.258551201307225	6.80602838047708	59.1049893529649	1.49479748454451e-14	6.0156177760367e-13
FBgn0033067	1.50397818110752	5.14938329094015	319.154948392791	2.21295470548577e-71	5.88768893587296e-69	-0.373286009230227	5.14938329094015	19.5774751792031	9.66014173839551e-06	0.000123366450093803	-0.247045441411373	5.14938329094015	8.64316827323966	0.0032829003080239	0.0134662180515002
FBgn0038946	-1.35166150955613	6.28085275583771	313.676713689888	3.45376138349673e-70	8.70529645556096e-68	-0.717690999031009	6.28085275583771	91.7544020860133	9.81297389556517e-22	1.67836899949506e-19	-0.515558564733761	6.28085275583771	47.4660518911037	5.59647912589979e-12	1.51850076679513e-10
FBgn0039255	-3.42593510629364	1.81437766552314	293.51694121909	8.51652232566983e-66	1.85389206443786e-63	-2.09681151277517	1.81437766552314	153.359884564172	3.19610654432926e-35	1.3914685673448e-32	1.90374857872127	1.81437766552314	186.562723086872	1.78916159939177e-42	2.85609829982907e-39
FBgn0030159	-0.755987137810346	6.37209769865118	280.003916043684	7.49450173731338e-63	1.59516305866639e-60	-0.609155533631637	6.37209769865118	185.144468439242	3.64971831562628e-42	2.18481262669178e-39	0.402027934262179	6.37209769865118	83.4594684149186	6.50358277319089e-20	6.34275922036853e-18
FBgn0265988	-0.809811806168528	7.36835554989331	277.90889089318	2.14432712661086e-62	4.46486200406062e-60	-0.271734405955949	7.36835554989331	32.0205588477097	1.52549564947233e-08	3.68040235028865e-07	-0.292988550711785	7.36835554989331	37.2097656403129	1.06081213211398e-09	2.06513386207068e-08
FBgn0024943	-0.837174495472366	8.19660032224804	262.291526498895	5.432832926129e-59	1.04071347532927e-56	-0.309130846368064	8.19660032224804	36.3908456031724	1.61459792621025e-09	5.03733515871067e-08	-0.198194719093978	8.19660032224804	14.9738416044733	0.00010901189790058	0.000715638079569401
FBgn0031775	-2.29903290669977	5.4897671800199	261.116371395483	9.79886566767658e-59	1.84026539931385e-56	-1.35723842960339	5.4897671800199	98.0376273409368	4.10507562614549e-23	8.54748137983076e-21	1.10519815316982	5.4897671800199	66.144496899631	4.19047996326429e-16	2.22980094934141e-14
FBgn0046999	-0.827582419408596	4.28430142840661	257.028141571568	7.62648438249773e-58	1.4047397579916e-55	-0.563458581097966	4.28430142840661	126.797572717486	2.05722340868228e-29	6.79451234770996e-27	0.248712463189067	4.28430142840661	26.9814556378611	2.05416807697744e-07	2.60939281714721e-06
FBgn0034709	-0.787384138543706	5.87211206647216	237.415377181262	1.4397302788367e-53	2.50722483830871e-51	-0.354438710556641	5.87211206647216	49.8673798489444	1.64496824498343e-12	1.16707450744084e-10	0.432594474123267	5.87211206647216	76.159344674238	2.61673973647849e-18	1.98913755523738e-16
FBgn0025692	-1.56908111852617	3.02815334202551	236.46048269726	2.3254218100988e-53	3.97730180305827e-51	-0.385553522413056	3.02815334202551	16.6941378155497	4.3916494689836e-05	0.000475221910469336	0.262408635610823	3.02815334202551	8.06127869797211	0.00452212574727485	0.0175284987484413
FBgn0032140	-0.836354506926531	6.25690002405203	234.873886449437	5.1579426203186e-53	8.66715340656343e-51	-0.372471838666521	6.25690002405203	48.0414835449738	4.17296218592753e-12	2.73757752169958e-10	0.580477507592777	6.25690002405203	118.796439491323	1.16047933048481e-27	2.9250186914167e-25
FBgn0261534	-1.38089667469443	3.54852504497297	231.157858263197	3.33300299605364e-52	5.5040521890003e-50	-1.44891745242734	3.54852504497297	256.769954941306	8.68171387117609e-58	1.01420787395501e-54	-0.39043660893171	3.54852504497297	20.3912930226115	6.31163125364439e-06	5.75740991880057e-05
FBgn0085427	-0.716782836701404	7.04957036175847	229.258617814968	8.65021270477962e-52	1.38086228810632e-49	-0.191578191836946	7.04957036175847	16.7928897791957	4.16892161301371e-05	0.000454351372720791	0.291022699239074	7.04957036175847	38.9821849901524	4.27690683616783e-10	9.09146418729536e-09
FBgn0033730	-1.51372305198996	3.97251026213245	226.006061058883	4.42982553124924e-51	6.84336595779116e-49	-1.05167740456508	3.97251026213245	114.717915374228	9.07275170684272e-27	2.48282330994685e-24	-0.382657397576342	3.97251026213245	15.8075455912755	7.01223021730457e-05	0.000484932426146882
FBgn0050033	1.0818229262326	6.2903385603061	225.105969974487	6.96142158451177e-51	1.05835707835641e-48	0.294596056346662	6.2903385603061	16.9054242386225	3.92891498014569e-05	0.000432045323534275	-0.600799013202708	6.2903385603061	68.9174708652212	1.02671242355558e-16	6.10798235578594e-15
FBgn0036015	0.878439549139068	9.03198188275395	223.117989374329	1.88926044499682e-50	2.82739633471556e-48	0.235848971539933	9.03198188275395	16.2789918618791	5.46666872779281e-05	0.00057286381919912	-0.303464185984732	9.03198188275395	26.883312146525	2.16116919281289e-07	2.73443573695666e-06
FBgn0027843	-0.702153605433331	7.31813849725964	219.973507257763	9.16563028911417e-50	1.3102747299871e-47	-0.501390280748546	7.31813849725964	113.58016494624	1.61037272726976e-26	4.28448610605272e-24	0.175055300075561	7.31813849725964	14.0528286315293	0.00017774628494118	0.00109835736591395
FBgn0035574	-1.03467743976897	4.95186994185294	218.269458611023	2.15707590724739e-49	2.90992578022754e-47	-0.271192972545338	4.95186994185294	15.8603766347876	6.8191588503919e-05	0.000698544422128916	-0.434365732541874	4.95186994185294	40.4042573686433	2.06490659679937e-10	4.5154510009462e-09
FBgn0003515	-1.43449403828468	3.80309490349474	206.058394359332	9.9506269877895e-47	1.30557678478148e-44	-0.45848594891872	3.80309490349474	23.0613212959776	1.56915796353844e-06	2.38561824996369e-05	-0.246401402171825	3.80309490349474	6.74394089708563	0.00940666019831057	0.0321417093809002
FBgn0014019	-0.762275422841108	9.31613741700403	203.372249788951	3.83673193333992e-46	4.96597546723375e-44	-0.760367560541402	9.31613741700403	202.436944656163	6.13835093245975e-46	3.9195416820733e-43	-0.26107913871883	9.31613741700403	24.1220737907196	9.04178922370401e-07	9.92007527888168e-06
FBgn0040532	0.681974301008972	7.9807064703197	195.866861116418	1.66656176252158e-44	2.04645237967073e-42	-0.244346309871824	7.9807064703197	25.1575152404837	5.28333615029866e-07	9.06878022357716e-06	0.236387724736391	7.9807064703197	23.6573532916499	1.15105241794031e-06	1.23596189002604e-05
FBgn0034166	-1.41420461463529	3.20541309416494	193.663957965581	5.04205103383219e-44	6.11300820279047e-42	-0.943489452561904	3.20541309416494	92.2774692284108	7.53371440099065e-22	1.31977308280993e-19	-0.491052358485793	3.20541309416494	25.9302972132622	3.53969798771593e-07	4.21681931919692e-06
FBgn0001083	-0.928491484272021	3.62148669520896	190.583446642622	2.37125492887938e-43	2.80393576651934e-41	-0.20911399009371	3.62148669520896	10.7600772614752	0.00103713053466491	0.00758292844352712	-0.666708698383469	3.62148669520896	104.365837123832	1.68205926957801e-24	2.64110880065871e-22
FBgn0033033	-0.580067562604247	7.10309841011725	188.60254887729	6.41756408707658e-43	7.49602790561214e-41	-0.307228667220252	7.10309841011725	53.8032403150438	2.21606936674685e-13	1.91220832384696e-11	0.204972307860795	7.10309841011725	24.2324812066862	8.53801551349561e-07	9.50896658003034e-06
