baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0026371	129.87033573663	0.387135768933894	0.0985458830444284	3.9284824182798	8.54835990358892e-05	0.00140922876345223
FBgn0037065	32.0475066618938	1.58574030544753	0.326986533174794	4.84955845138692	1.23736604246646e-06	3.05450823575871e-05
FBgn0037064	186.829808080324	3.4864673045983	0.709781233187731	4.91203083651573	9.0137872251727e-07	2.30224144113878e-05
FBgn0029091	59.2713987067645	1.2843697782724	0.274256403201577	4.68309860145141	2.82570501119943e-06	6.50591408588177e-05
FBgn0015075	470.170614939138	0.180937303388409	0.0529565883330988	3.41670997101073	0.000633827649779133	0.00809440163944605
FBgn0260481	42.6990420101414	1.82694635069543	0.29897414602526	6.11071684620204	9.91846079108319e-10	5.05313922643589e-08
FBgn0052451	6952.61746828396	-0.147273971665548	0.0514760262352368	-2.86102060389298	0.00422279607436554	0.0395365990227499
FBgn0037410	394.996434496109	-0.935685279225825	0.161366306414138	-5.79851705116456	6.69039014387113e-09	2.79827758943221e-07
FBgn0026077	846.751446923701	-0.49074860843719	0.141217974283617	-3.47511434664534	0.000510635635955052	0.00673673294928029
FBgn0037396	295.165571452635	0.481811655532188	0.164527552164834	2.92845574612014	0.00340650321385072	0.0330907583998603
FBgn0037375	1094.42596406393	0.221644195781503	0.0680941761873347	3.25496552262758	0.00113406132179627	0.0129773468819172
FBgn0037378	404.009418652195	0.294128388052743	0.0744536423892597	3.95049024619879	7.79912764215212e-05	0.00131052709748304
FBgn0037329	1028.82943689199	0.316519712768812	0.0716047835877033	4.42037105497472	9.8531566198671e-06	0.000204714824522966
FBgn0037359	114.531093146248	0.298254194008008	0.103671059880786	2.87692818372822	0.00401566975510128	0.0380812721924357
FBgn0037369	288.232474364622	0.293567868978716	0.0948192785862931	3.09607785838136	0.00196098863516218	0.0208461144812246
FBgn0037301	556.819504040583	0.156965327463388	0.0490890918622307	3.19756022180882	0.00138595468768199	0.0154536367853529
FBgn0051538	505.972159270882	2.5754951546078	0.41706921356318	6.17522241117817	6.60703945395369e-10	3.59558090283912e-08
FBgn0053293	86.1866540615296	2.02859045740902	0.289105649084429	7.0167790350461	2.27041235388194e-12	2.97890541444949e-10
FBgn0037298	4708.97212298549	-0.485571384054685	0.0526069105240187	-9.23018248397211	2.70171225178717e-20	1.0350799979047e-17
FBgn0037292	135.611683159979	0.927689758842501	0.140597452177022	6.59819750982739	4.16186586404056e-11	3.29440919386615e-09
FBgn0037291	51.7659413414998	0.794044823266169	0.164213372911341	4.83544554982667	1.32847736433042e-06	3.23903402227126e-05
