x	BH.Q	ADJ.P	PER	LAG	AMP	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0261402	0.058697547148068	0.000294161856661857	24	6	128.018889967248	278.918770894988	361.672930256433	442.942878623364	228.088000838576	126.298810176547	160.637996172505	315.82119242854	416.253772688829	263.092007040408	178.487812152974	111.689997147374	179.437638258425
FBgn0034590	0.058697547148068	0.000294161856661857	28	0	112.694232963856	700.01014485318	696.752262699893	553.186439525179	370.105057964482	468.048531830734	583.811224895597	626.49871722795	685.973335262829	603.268296398389	457.516227354143	453.803501923113	541.183916987411
FBgn0010052	0.058697547148068	0.000294161856661857	28	0	77.3074691897258	146.51375124834	117.011830377081	59.0590504831152	12.9106415569005	1.85733544377275	28.7709843891054	131.67789130571	297.899218365313	60.3268296398388	14.6857060632194	8.04972952413504	28.7100221213481
FBgn0033289	0.058697547148068	0.000294161856661857	24	12	67.9811731784042	64.031935730756	95.7369521267028	100.400385821296	287.261774641037	169.017525383321	79.1202070700398	77.1550144369397	130.431549662651	174.277507848423	255.305351560583	154.957293339599	45.9360353941569
FBgn0267012	0.058697547148068	0.000294161856661857	24	10	52.4267089992467	20.620453879396	76.2349803971893	141.741721159476	116.195774012105	55.7200633131826	31.1685664215308	31.8907393006017	107.082692006991	167.57452677733	79.0768788019506	55.3418904784284	40.1940309698873
FBgn0034919	0.058697547148068	0.000294161856661857	24	18	43.1476759754514	380.935753245684	348.376131349946	330.730682705445	406.685209042366	463.405193221302	415.980482625816	383.717605133047	375.191988535773	366.150341008466	408.940430375801	480.971339067068	413.424318547412
FBgn0024897	0.058697547148068	0.000294161856661857	24	0	33.7901277562516	96.590547119276	67.3704477928649	41.3413353381806	33.3524906886597	44.5760506505461	115.083937556422	109.045753737541	64.4106418087164	37.7042685248993	38.4087697038046	55.3418904784284	81.823563045842
FBgn0033365	0.058697547148068	0.000294161856661857	24	22	33.2739364703577	64.031935730756	44.3226630216217	0	7.53120757485864	25.0740284909322	116.282728572634	50.4079427654672	36.230986017403	6.70298107109321	12.4263666688779	41.2548638111921	104.79158074292
FBgn0053965	0.058697547148068	0.000294161856661857	24	20	24.0325913407091	30.388037295952	13.2967989064865	15.7490801288307	23.6695095209843	46.4333860943189	91.1081172321671	24.6896046198207	5.63593115826268	10.8923442405265	28.2417424292681	59.3667552404959	66.0330508791005
FBgn0002733	0.058697547148068	0.000294161856661857	24	12	23.5955486091963	242.019011321332	249.979819441946	265.765727174018	336.752567275822	273.028310234595	243.354576291183	240.723645043252	247.980970963558	279.011587084255	297.1031303559	257.591344772321	169.389130515954
FBgn0040900	0.058697547148068	0.000294161856661857	24	0	16.5943030082774	45.582055943928	39.8903967194595	21.6549851771422	8.60709437126702	35.2893734316823	44.3552675998708	58.6378109720741	40.2566511304477	16.757452677733	14.6857060632194	24.1491885724051	40.1940309698873
FBgn0040843	0.058697547148068	0.000294161856661857	28	0	11.2106870909554	45.582055943928	35.4581304172973	35.4354302898691	20.4418491317592	17.6446867158412	23.9758203242545	38.0631404555569	48.3079813565373	36.8663958910126	21.4637242462437	15.0932428577532	22.9680176970784
FBgn0003861	0.0874490336451543	0.000794327200577201	24	16	12217.8157797532	42655.0367801001	40512.6869082831	45249.0758451468	60315.28969345	59626.9684191586	56479.8399378463	42271.6893097105	42730.0197759024	54842.9532510507	65307.3348631366	66467.6228969735	57457.3672714539
FBgn0035880	0.0874490336451543	0.000794327200577201	24	22	4791.57306415476	13785.3160618994	8319.36384915839	6216.94938085593	6162.67956982718	11198.8040582278	16849.0077328698	13363.2485004779	8501.39958572795	7247.59828311953	6770.11049514414	13230.7366891065	16311.5990682439
FBgn0030041	0.0874490336451543	0.000794327200577201	28	26	3772.78283970321	14398.5032430498	10617.0507001993	7610.74297225745	6258.43349470753	6733.76965139812	9034.08909817909	14296.309808402	11723.541942209	8217.85479316027	6939.56094971975	7193.43954600517	7789.02900152173
FBgn0011693	0.0874490336451543	0.000794327200577201	24	0	3102.7498495317	8036.55057773302	6619.14649564898	3403.76994284354	2253.98283847555	3000.52540941488	5987.96112598256	10033.2380773796	7399.9776107989	2919.14825646109	2417.49315194535	3525.78153157115	6969.35786995724
FBgn0038862	0.0874490336451543	0.000794327200577201	24	12	1803.39569122224	988.696499164724	1504.31118295384	3956.95638236872	4141.08827937584	2339.31399143178	1036.95422902401	963.923313698833	1677.09208609445	4320.90917295346	3784.39348552192	2331.40291342761	904.365696822464
FBgn0039594	0.0874490336451543	0.000794327200577201	24	20	915.535550556292	6432.49632332527	5648.48017547547	5256.25549299725	5513.91983159293	6811.77774003658	6950.59031200138	6462.50400923807	5809.83989114622	4454.13092174144	6018.88014652561	6824.15820408548	7356.94316859544
FBgn0032945	0.0874490336451543	0.000794327200577201	24	16	903.612801376599	1352.26765966986	1334.11215695081	1901.70142555631	2626.23967003285	3741.60225148021	2480.29861254413	1565.73242630696	1621.53790753443	1699.20570152213	2844.50829747588	3548.92450395303	2714.53259157346
FBgn0033065	0.0874490336451543	0.000794327200577201	24	12	802.685792211528	3122.37083215907	4199.12909466844	5397.99721415673	7664.61753761328	5190.32389762296	4604.55629327308	4154.02597728483	4287.33334539268	5414.33296017554	5415.63652823644	4291.51205255449	4516.08647968805
FBgn0036816	0.0874490336451543	0.000794327200577201	28	24	745.895756205624	4340.06289808972	3684.09975035719	3120.28650052459	3163.10718144063	3235.47834305214	4202.96130284181	4249.69819518664	3854.97691225167	3316.29988492336	2966.51262477032	3101.15829917302	3814.12643882109
FBgn0036620	0.0874490336451543	0.000794327200577201	24	22	583.868047981007	1205.75390842152	569.989446458055	523.656914283621	561.612907725173	1281.5614562032	1699.88566098964	1333.23864947032	810.768953767217	500.20996243033	579.520554648581	1393.60942386588	2094.39611375234
FBgn0031995	0.0874490336451543	0.000794327200577201	24	2	315.686538901491	5347.20927704127	5201.70773221752	5128.2942169505	4694.09409272975	4721.34669807034	4758.0015433483	5637.45972152572	5080.3893726625	4694.6003676669	4603.40401597069	4643.6877192354	4823.28371638647
FBgn0027562	0.0874490336451543	0.000794327200577201	24	14	315.52543029955	1332.73249283675	1290.67594718962	1673.33976368826	2168.98778155929	2034.71097865305	1811.37322549743	1458.74413962107	1615.09684335356	1896.10577048549	2447.99423376896	1913.82319436311	1874.76444452403
FBgn0015714	0.0874490336451543	0.000794327200577201	24	0	305.980889099956	1445.60234565029	1278.26560154357	929.195727601012	704.705851647487	908.237032004877	1052.53851223477	1342.49725120275	1188.37634137082	711.353866169766	760.267706195896	916.662949560877	1235.96645232403
FBgn0010383	0.0874490336451543	0.000794327200577201	24	16	266.47713815239	733.654043287984	678.136744230812	824.858071747509	1286.76060850442	1408.78893410163	1160.42970369392	792.124814885914	775.343100772423	850.44072339495	1050.59281836877	1135.01186290304	1039.3028007928
FBgn0033464	0.0874490336451543	0.000794327200577201	24	22	250.522578777328	905.129396600856	566.443633416325	372.072018043626	590.661851228199	775.437547775125	1101.68894389949	978.325583060395	725.424853370668	501.047835064217	678.931487999604	808.997817175571	1022.07678751999
FBgn0032741	0.0874490336451543	0.000794327200577201	28	8	238.557576833373	835.67102563868	913.046858245406	1537.5039475771	1102.78396631859	777.294883218898	549.046285425428	865.16489521955	866.323132327235	1777.96572910747	1314.93552750672	882.451599083303	571.329440214826
FBgn0024980	0.0874490336451543	0.000794327200577201	24	0	237.884219466427	1109.16336130225	800.467294170487	679.179080555825	512.122115090387	578.559990735213	780.412951554484	1048.27946281655	818.015150970698	577.294244747902	488.017309177752	632.909983835117	1000.54427092898
FBgn0030065	0.0874490336451543	0.000794327200577201	24	0	235.65802650773	1649.63631035168	1374.00255367027	1092.59243393763	1059.74849446225	1252.77275682472	1542.84403786578	1687.12298235441	1357.4542761187	1125.26294730977	1346.5662790275	1278.90077814695	1571.87371114381
FBgn0035204	0.0874490336451543	0.000794327200577201	24	4	232.479279720238	1118.9309447188	1322.58826456519	826.826706763613	701.478191258262	650.067405320464	811.581517976015	946.434843759793	1200.45333670995	1004.60928803009	735.41497285814	712.401062885951	770.864093958195
FBgn0028527	0.0874490336451543	0.000794327200577201	28	22	219.045702166911	1547.61932800098	1523.81315468335	1185.11827969451	1231.89038188759	1573.16312087552	1769.41553992998	1665.51957831207	1643.27649914488	1233.34851708115	1387.23438812565	1528.44239339514	1665.18128303819
FBgn0263457	0.0874490336451543	0.000794327200577201	24	0	218.123571698051	720.630598732576	592.150777968866	374.04065305973	232.391548024209	341.749721654187	478.317615468877	646.044654218641	553.931519554961	277.335841816481	208.988893976584	317.964316203334	614.394473396848
FBgn0262538	0.0874490336451543	0.000794327200577201	24	22	217.245943255276	896.447100230584	624.063095344433	606.339584959983	570.22000209644	672.355430645737	1017.7735727646	908.371703304236	676.311738991522	471.722292878184	558.056830402337	677.18349621786	1225.91794458156
FBgn0039656	0.0874490336451543	0.000794327200577201	24	4	187.647910295734	815.050571759284	741.074925721514	572.872789686217	474.466077216094	304.603012778732	480.715197501303	785.952413730959	825.261348174178	562.212537337943	458.645897051313	354.188099061942	574.200442426961
FBgn0015872	0.0874490336451543	0.000794327200577201	24	8	162.302853187536	1058.1548701269	1163.02667768735	1486.3194371584	1225.43506110914	976.029775702582	861.930740656949	1037.99212755829	1156.97615348907	1214.91531913564	1143.22573353677	920.687814322945	940.253224474149
FBgn0041585	0.0874490336451543	0.000794327200577201	28	16	133.582410657655	1489.01382750165	1461.76142645308	1584.75118796359	1586.93302470236	1750.53865575582	1774.21070399483	1516.35321706732	1432.33164722133	1512.3601041654	1557.81451239843	1807.16427816832	2014.00805181257
FBgn0264272	0.0874490336451543	0.000794327200577201	24	12	122.261815473253	274.577622709852	557.579100812001	570.904154670114	613.255473952775	455.975851446211	356.040931815179	279.815519024635	560.372583735832	692.92066822426	697.006203154336	416.573502873988	291.406724531683
FBgn0027074	0.0874490336451543	0.000794327200577201	28	22	103.345651726885	424.347235097044	310.258641151352	297.26388743168	224.860340449351	360.323076091914	535.859584247088	445.441616682598	352.648263902722	301.634148199194	219.15592125112	352.175666680908	505.296389335726
FBgn0036094	0.0874490336451543	0.000794327200577201	28	18	102.719099611628	287.60106726526	237.569473795892	322.85614264103	342.132001257864	491.265224877894	497.498271728281	328.16599473845	330.90967229228	270.632860745388	301.621809144583	371.293774300729	521.086901502467
FBgn0032513	0.0874490336451543	0.000794327200577201	24	20	99.9491105834522	950.711452544784	864.291928921623	700.834065732967	877.923625869236	986.245120643333	1096.89377983464	887.797032787719	853.441003965492	926.687133078636	946.663206229065	1018.29078480308	1191.46591803594
FBgn0259229	0.0874490336451543	0.000794327200577201	24	2	80.4789286493197	469.929291040972	358.127117214703	342.542492802068	284.034114251812	293.459000116095	348.848185717903	521.567897593712	446.84882754797	313.364365073607	240.619645497364	265.641074296456	305.761735592357
FBgn0040817	0.0874490336451543	0.000794327200577201	24	8	76.8089793580654	273.492335663568	382.947808506811	600.433679911671	320.614265329696	265.598968459504	267.330396615438	301.418923066978	353.453396925331	407.206100068912	367.142651580485	258.597560962838	249.777192455728
FBgn0032249	0.0874490336451543	0.000794327200577201	24	10	75.0567395355607	1109.16336130225	1115.158201624	1328.82863587009	1161.95774012105	1148.76197197345	1044.14697512128	1081.19893564298	1134.43242885602	1231.67277181338	1208.74657597267	1102.8129448065	990.495763186508
FBgn0263133	0.0874490336451543	0.000794327200577201	28	18	64.4908910773885	524.193643355172	500.846092144325	576.810059718425	613.255473952775	637.994724935941	674.919342127764	538.027634006926	509.649203311468	531.211249884137	582.909563740093	619.829173358398	657.459506578871
FBgn0032195	0.0874490336451543	0.000794327200577201	24	18	48.8383134392606	260.46889110816	225.159128149838	236.236201932461	287.261774641037	370.538421032665	312.884455231521	246.896046198207	230.268044466161	253.037535433769	309.529497024778	351.169450490391	255.519196879998
FBgn0036028	0.0874490336451543	0.000794327200577201	28	8	35.1259818664523	431.944244421032	461.842148685298	478.378308913233	456.176001677152	414.185803961324	342.854230636839	411.493410330345	459.730955909713	481.776764484824	513.999712212679	426.635664779157	367.488283153255
FBgn0032615	0.0874490336451543	0.000794327200577201	24	16	26.4787748703033	26.046889110816	24.8206912921081	27.5608902254538	59.1737738024607	83.580094969774	73.1262519889762	25.7183381456466	27.3745227687045	31.8391600876927	53.094475767024	67.4164847646309	47.3715365002243
FBgn0031745	0.0874490336451543	0.000794327200577201	20	16	20.0095437416831	222.48384448822	202.111343378595	214.581216755319	237.770982006251	260.026962128186	219.378755966929	208.83290574265	226.242379353116	256.389025969315	242.878984891705	235.45458858095	150.727616137077
FBgn0263986	0.0874490336451543	0.000794327200577201	28	16	7.17832322329016	31.473324342236	48.7549293237838	47.2472403864922	57.022000209644	77.0794209165693	55.1443867457853	53.4941433429448	42.6720501982746	45.2451222298791	65.5208424359019	66.4102685741141	67.4685519851679
FBgn0038371	0.0874490336451543	0.000794327200577201	24	8	6.441396426261	49.923204129064	54.9601021468109	57.0904154670114	49.4907926347853	43.6473829286597	38.3613125188072	51.4366762912931	52.333646469582	65.3540654431588	47.4461272811703	43.2672961922258	43.0650331820221
FBgn0032285	0.122650535630668	0.00193362193362193	24	20	16607.9921147928	34241.8915973065	17176.8048273993	12120.8857941513	31468.6129081486	43965.9159572668	51243.5207790291	46034.7965471815	21473.7028460034	13478.0191887007	32275.7929178647	55561.2456079611	39496.3774323385
FBgn0005614	0.122650535630668	0.00193362193362193	24	12	15502.9054904611	18747.2484375098	31634.8575050523	49333.9935035622	51679.14637868	29067.2996950436	23179.8230894892	19077.8632364406	37828.3699342591	60831.2289654386	52539.8079457131	32810.6975403744	20477.4232780515
FBgn0004919	0.122650535630668	0.00193362193362193	24	12	4972.5259585529	1625.75999533343	2227.65704346671	9691.5901842792	10541.5388312093	5786.52857507402	2358.02192889043	1602.76683323669	2375.14241669642	8921.66780562506	10203.176704846	6009.12308976681	2654.24154511863
FBgn0083970	0.122650535630668	0.00193362193362193	24	22	2327.88321316303	6665.83303827633	1380.2077264933	228.361661868045	247.453963173927	1661.38655445473	4169.39515438786	6767.00913288252	1256.81264829258	237.117955389922	294.843790961559	1725.66076673645	3548.55873419862
FBgn0027621	0.122650535630668	0.00193362193362193	24	12	1204.16239282708	5782.40938260115	6095.25261873341	7335.13407000291	8834.10648530918	7809.16687334255	7100.43918902797	6165.20002027439	6790.49191268392	8015.0896157597	8381.01948330959	7765.97655840928	6115.23471184714
FBgn0027356	0.122650535630668	0.00193362193362193	24	22	1171.35288110897	7115.14187543791	5965.83044271028	6232.69846098476	4662.89337563391	6291.72381578021	7600.33504278868	7179.53127673869	5921.75338128886	5008.8026053744	4846.2830008624	6467.9576726425	9428.3712646507
FBgn0266758	0.122650535630668	0.00193362193362193	24	6	616.65854345541	3238.49654611146	3638.00418081471	4411.71107108871	2965.14401090149	2738.64111184293	3062.91104642351	3314.57942021093	3933.07481544474	3975.70564779216	2889.69508536271	2487.36642295773	2837.98568669526
FBgn0035290	0.122650535630668	0.00193362193362193	24	20	579.474381995616	3246.09355543544	2548.55312374325	2240.30664832617	3159.8795210514	4130.71402695061	4035.13056057203	3230.22327109321	3026.49503198706	2646.00177781404	3036.5521459949	3591.18558395474	3382.0406058948
FBgn0038211	0.122650535630668	0.00193362193362193	28	0	535.475491567736	2096.77457342069	1831.41243605341	1381.9817813049	1181.3237024564	899.8790225079	1602.78358867641	2177.82887417335	2082.07399646676	1617.09418340124	1000.88735169326	931.756192418631	1455.59812155235
FBgn0040259	0.122650535630668	0.00193362193362193	28	26	532.872199304763	2067.47182317102	1967.92623816	1248.11460020983	1305.05068404336	1283.41879164697	1499.68756128212	2182.97254180248	1995.11963002499	1373.27324694022	1364.64099418223	1239.6583467168	1408.22658505212
FBgn0037697	0.122650535630668	0.00193362193362193	24	2	521.200218873144	1451.02878088171	1475.94467862	1224.49098001659	534.715737814963	640.7807281016	1403.7842799851	1498.86474712828	1612.68144428574	1042.31355655499	648.430406175995	711.394846695434	1320.66101758201
FBgn0027341	0.122650535630668	0.00193362193362193	28	18	499.332823582989	1733.20341291555	1295.99466675222	1496.16261223892	1718.19121386418	2498.11617187435	2486.29256762519	1744.73205980066	1361.47994123174	1537.496283182	1877.51103669774	2406.86912771638	2733.19410595234
FBgn0033853	0.122650535630668	0.00193362193362193	28	20	441.471011178515	3271.05515749998	2619.46938457784	2348.58157421188	3272.84763467428	3651.52148245724	3438.13263449809	3489.46411960132	2626.34391975041	2552.16004281874	2875.00937929949	3375.85531918413	3594.49476959278
FBgn0036910	0.122650535630668	0.00193362193362193	24	4	380.624251894799	1300.17388144823	1302.19983957524	964.631157890882	715.464719611571	676.998769255169	921.870291467585	1474.17514250846	1471.78316532917	1123.587202042	868.715997124286	692.276739075613	770.864093958195
FBgn0270926	0.122650535630668	0.00193362193362193	24	12	374.52414749944	1418.47016949319	1614.23138724746	1980.44682620046	2032.35015841542	1940.91553874253	1715.46994420041	1449.48553788864	1954.86297889454	2243.82291354845	2293.22948525657	1991.3018410329	1441.24311049167
FBgn0031998	0.122650535630668	0.00193362193362193	24	0	353.051479029236	2110.88330502238	1697.55799372811	1151.65148442075	1408.33581649857	1491.44036134952	1578.80776835216	1987.51317189557	1668.23562284575	1121.07358414034	1328.49156387277	1494.23104291757	1841.74791908448
FBgn0031589	0.122650535630668	0.00193362193362193	24	4	317.768635507964	2932.44559905937	2937.70610507308	2685.21816196564	2529.40985835609	2244.58988379937	2535.44299928991	3269.31514507459	2971.74598644965	2537.91620804266	2339.54594284057	2228.76886199489	2934.16426080177
FBgn0051100	0.122650535630668	0.00193362193362193	24	18	312.265651740968	702.180718945748	645.337973594812	690.990890652448	997.347060270565	1255.55875999038	1010.58082666733	733.48700391384	680.337404104567	647.675545994381	1142.0960638396	1259.78267052713	1090.98084061123
FBgn0039789	0.122650535630668	0.00193362193362193	28	22	309.552616939879	1289.32101098539	913.933311505839	759.893116216082	899.441361797403	1335.42418407261	1473.31415892544	1328.09498184119	881.620659756805	776.707931612925	849.511612272383	1237.64591433576	1467.08213040089
FBgn0265512	0.122650535630668	0.00193362193362193	24	0	305.962510663559	3599.89713252403	3502.37683196854	3258.09095165185	3088.87099248845	3209.47564683932	3653.91501741639	3698.29702534397	3317.14805314889	3088.39852850619	2983.45767022788	3425.15991251946	3686.36684038109
FBgn0034485	0.122650535630668	0.00193362193362193	28	24	266.799602412562	2272.5910749187	2118.62329243352	1815.08148484774	1749.39193096002	2106.2183932383	2337.64248161481	2396.94911517426	2196.40288567723	1860.91511986225	1744.2100124316	2233.79994294747	2137.46114693436
FBgn0037935	0.122650535630668	0.00193362193362193	24	6	240.763648192705	1244.82424208775	1367.79738084724	1192.99281975893	1177.02015527076	810.726921206807	903.888426224394	1416.56606506221	1479.83449555526	1154.5884894958	996.368672904577	793.904574317818	1139.78787821752
FBgn0028622	0.122650535630668	0.00193362193362193	24	2	211.974211179929	1363.1205301327	1288.90304066876	992.192048116335	1053.2931736838	932.382392773923	1088.50224272115	1478.29007661176	1342.15674868913	1006.28503329787	974.904948658333	988.104299087576	1174.23990476314
FBgn0033981	0.122650535630668	0.00193362193362193	24	0	207.235199330209	616.443042289312	364.33229003773	196.863501610384	257.136944341602	308.317683666277	553.841449490279	571.975840359179	409.812708507958	170.926017312877	196.562527307706	345.13215334729	666.072513215275
FBgn0261985	0.122650535630668	0.00193362193362193	24	8	207.059801134618	3209.19379586179	3509.468458052	3584.88436432509	3339.5526160516	3179.75827973896	3217.55508751495	3270.34387860042	3536.14423529853	3510.68633598507	3339.30362483666	3197.75505346264	3186.81245546963
FBgn0262539	0.122650535630668	0.00193362193362193	24	0	191.909369564139	736.909904426836	494.640919321298	468.535133832714	364.72562398244	352.893734316823	648.545939771084	704.682465190716	472.613084271456	301.634148199194	361.494303094631	406.511340968819	664.637012109208
FBgn0036680	0.122650535630668	0.00193362193362193	24	0	187.525474651764	1106.99278720968	619.630829042271	435.068338558949	462.631322455602	559.986636297485	772.021414440995	1096.62993853037	644.106418087164	457.478458102111	532.07442736741	603.729714310128	765.122089533926
FBgn0039690	0.122650535630668	0.00193362193362193	24	14	185.93972816621	732.5687562417	795.148574607893	925.258457568805	1187.77902323485	1193.33802262399	962.629186018818	923.802706191624	860.687201168972	997.906306959001	1221.17294264155	1135.01186290304	845.5101514737
FBgn0015569	0.122650535630668	0.00193362193362193	24	14	164.418288924191	444.96768897644	456.523429122703	692.959525668552	878.999512665644	794.010902212853	678.515715176402	524.65409817119	538.633992125391	606.619786933935	907.12476682809	776.798899079031	722.057056351904
FBgn0024315	0.122650535630668	0.00193362193362193	24	10	163.968611670349	3948.27427438119	4113.14312840649	4531.79780707104	4213.1726947352	4003.48654905217	3891.2756386265	3945.19307154218	4179.44552036308	4320.90917295346	4184.29655832036	4102.34340873732	4088.30715007996
FBgn0038651	0.122650535630668	0.00193362193362193	28	16	162.187023072074	1530.25473526044	1459.98851993222	1600.50026809242	1765.53023290615	1889.83881403878	1702.28324302207	1542.07155521297	1447.6291746509	1467.95285456941	1537.48045784935	1646.16968768562	1722.60132728088
FBgn0032685	0.122650535630668	0.00193362193362193	24	10	152.398965058085	846.52389610152	1022.0806092786	1334.7345409184	1125.37758904316	994.60313014031	870.322277770438	973.181915431266	1144.89915814993	1414.32900600067	1046.07413958009	886.476463845371	971.834248807632
FBgn0035103	0.122650535630668	0.00193362193362193	24	22	146.220562583663	1327.30605760533	1084.13233750887	919.352552520493	1009.18181503106	1140.40396247647	1358.23022136902	1310.60651190215	1220.58166227518	1026.39397651115	1164.68945778301	1181.29780766682	1360.8550485519
FBgn0037936	0.122650535630668	0.00193362193362193	24	10	138.554313860668	1198.15689909754	1241.92101786584	1411.51130654645	1478.26845826511	1326.13750685375	1129.26113727239	1273.57210497242	1434.74704628916	1494.76477885378	1395.14207600584	1289.96915624264	1144.09438153572
FBgn0052523	0.122650535630668	0.00193362193362193	24	6	124.331872247083	200.77810356254	467.160868247892	318.918872608822	160.307132664848	146.729500058048	141.457339913102	342.568264100012	512.869735401904	229.577101684942	307.270157630437	114.708645718924	178.002137152358
FBgn0051719	0.122650535630668	0.00193362193362193	24	14	122.171376163573	1050.55786080291	1038.92322122681	1238.27142512932	1301.82302365414	1274.13211442811	1165.22486775877	1010.216322361	1064.38585588904	1150.39912632637	1201.96855778965	1260.78888671765	1102.46484945977
FBgn0030588	0.122650535630668	0.00193362193362193	24	8	120.116931966894	406.9826423565	491.095106279568	509.876469170895	445.417133713068	315.747025441368	262.535232550587	498.935760025543	612.706230205414	519.481033009723	433.793163713557	300.858640964547	305.761735592357
FBgn0039487	0.122650535630668	0.00193362193362193	24	0	116.617363534315	922.4939893414	730.437486596325	590.590504831152	550.854039761089	703.001465467988	700.093953468231	913.515370933365	797.886825405474	648.513418628268	572.742536465556	728.500521934221	739.283069624713
FBgn0037375	0.122650535630668	0.00193362193362193	28	4	100.853658923989	1131.95438927421	1302.19983957524	1063.06290869607	886.530720240503	997.389133305969	1048.94213918613	1051.36566339403	1125.57596560732	1210.72595596621	1073.18621231219	1039.42132480394	928.76921562561
FBgn0024273	0.122650535630668	0.00193362193362193	24	8	96.4440715069948	1384.82627105838	1545.08803293373	1691.0574788332	1411.56347688779	1274.13211442811	1327.06165494749	1402.16379570065	1423.47518397263	1471.30434510496	1433.55084570965	1338.26753338745	1332.14502643055
FBgn0032955	0.122650535630668	0.00193362193362193	28	18	91.9799425466637	3401.28960305406	3208.07434950498	3427.39356303679	3541.81933377638	3508.50665328673	3552.0177810383	3411.28037163856	3235.82961786539	3026.39595359858	3360.7673490829	3444.27802013928	4263.43828502019
FBgn0032130	0.122650535630668	0.00193362193362193	24	10	91.3669910339919	660.939811186956	780.078869180541	805.171721586471	720.844153593613	668.640759758192	622.172537414404	645.015920692815	801.10735749591	844.575614957744	682.320497091116	681.208360979928	631.620486669657
