baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0029840	1075.83166114971	-0.174714275777651	0.0608713082669026	-2.87022376801203	0.00410181411095416	0.038706576901201	-0.177855365364098	5.55670802552514	0.00466911780447079	0.0450360627706155
FBgn0029838	193.193736853736	1.27136257637499	0.207084324524016	6.13934724077846	8.28612621886029e-10	4.31328896327412e-08	1.26254247737026	3.0889639382507	1.8197586054916e-09	1.0192776563391e-07
FBgn0003302	333.24981137562	0.31227811678039	0.0830719277694904	3.75912928910119	0.00017050571499847	0.00255972372767296	0.308539437318919	3.87150566198985	0.000239073940391529	0.00357789093917198
FBgn0029851	145.981179063553	-0.536050723334529	0.138992536584229	-3.85668710355311	0.000114934130406843	0.00182560381598133	-0.537931321265508	2.68310100261499	0.000125481764299114	0.00205798688091938
FBgn0029866	786.674334077286	-0.258185157630827	0.0904513468879707	-2.85440921018683	0.00431169536945999	0.0400644698501394	-0.262316985345031	5.10614201174652	0.00401148665221673	0.0401064918109936
FBgn0016974	31.0099008814524	2.01015333032572	0.391314204869656	5.13692911044536	2.79264237552745e-07	7.84396735272783e-06	1.99412265974551	0.550336432908488	6.80555034935726e-07	1.87848879671884e-05
FBgn0029868	2757.54924647829	0.170686788145641	0.0486152562148076	3.51097168739495	0.000446471947384797	0.00592286469813239	0.16693449862225	6.91271249523074	0.00130240709149441	0.0154005618794241
FBgn0031277	75.4767772283257	3.83169099636532	0.774466652795883	4.94752224970905	7.51641145869125e-07	1.94049026823032e-05	3.81026079944977	1.75460997762489	5.34413041462468e-06	0.000123339954485
FBgn0031292	72.1683877667419	1.71791348373884	0.405295130164974	4.23867289754892	2.24844984081863e-05	0.000433312929081708	1.70546463926536	1.69589123716588	5.11530981255538e-05	0.000940392272258263
FBgn0031265	283.578694993544	0.325591409176664	0.0826843754886225	3.93776221024329	8.22450370400535e-05	0.00136287710167756	0.320798527145621	3.64047705152379	0.000124051161719526	0.00204430321301792
FBgn0031260	1606.01040457618	0.233375298132702	0.0754950082479527	3.09126793345348	0.00199303704834209	0.0210931589491939	0.229348120371385	6.13346962325179	0.00253695615324463	0.0272104882819452
FBgn0015924	4845.44354333928	-0.1993736294912	0.0635703524560563	-3.13626748615275	0.00171113059589687	0.0185188800536726	-0.203263906337973	7.72546772483175	0.00184546743973124	0.0205294856419812
FBgn0031251	223.785367175663	0.573383848106971	0.0941369075655745	6.09095691514574	1.12237757547177e-09	5.5700167968231e-08	0.568583302910923	3.30030555592945	1.96044559611163e-09	1.07604400767744e-07
FBgn0031249	72.4008805860967	3.95978413212731	0.811649674167797	4.8786862832014	1.06794770498819e-06	2.67070577503314e-05	3.93407806262472	1.69429213907416	9.28662052872118e-06	0.000202152844145662
