logFC	logCPM	LR	PValue	FDR
FBgn0032538	-1.33890054660021	0.73850247646663	84.2188083598135	4.42936735747448e-20	6.6288250859204e-18
FBgn0087012	-0.390968812651587	6.20499184959408	81.8778261593592	1.44764358709932e-19	2.13315850419035e-17
FBgn0263738	-0.589876708854173	3.29938568211713	81.7501826016429	1.54422317736909e-19	2.24099539285472e-17
FBgn0051871	0.79424147094896	2.60992781507431	80.0680185443758	3.61740302490271e-19	5.17126659291316e-17
FBgn0031821	-0.440780265218805	4.5962464078437	79.38388481261	5.11415585777697e-19	7.20343894202763e-17
FBgn0036146	-0.583281355629786	4.42139228760531	77.8273570916828	1.12451862232786e-18	1.56096222676177e-16
FBgn0004569	-0.33140918250582	4.75579300897809	77.4520318962749	1.35985238734624e-18	1.86066659514318e-16
FBgn0261575	-3.72978307362814	6.59829420558238	77.1669057002277	1.57104095528098e-18	2.11935637601144e-16
FBgn0034876	-0.295858976086986	5.96533868495676	75.7069863739654	3.2904135289241e-18	4.37716399722708e-16
FBgn0262537	0.589074530369312	3.99962786577675	74.4062911008005	6.35860486219879e-18	8.34283799590959e-16
FBgn0032879	-0.515473407014742	6.22970533139624	72.4358194607458	1.72553402126266e-17	2.23340065616943e-15
FBgn0034293	-0.626154921828647	3.53897484153134	72.1958476037702	1.94865365494009e-17	2.48856062760216e-15
FBgn0030234	-0.408546555497638	5.1623888249196	70.9364531399531	3.68918169725706e-17	4.64933977583265e-15
FBgn0022800	-0.385314819782666	4.44392605011718	70.6432297177095	4.28034111678637e-17	5.32429963851687e-15
FBgn0053296	-0.464804233933118	4.23184553622404	68.7972452081981	1.09125020891599e-16	1.33999929499966e-14
FBgn0011224	0.422194886208483	7.19789260276118	67.9681396088736	1.66158764982359e-16	2.01451727974814e-14
FBgn0051102	-0.469597000994968	4.37336320306061	67.111924623153	2.56522082083706e-16	3.07121062774717e-14
FBgn0030317	-0.463596236669558	9.14242935279779	66.1923211669215	4.09002850369192e-16	4.83633247016805e-14
FBgn0037612	-0.877743644315988	6.96422491552235	66.1485240316456	4.18192692740597e-16	4.88469464764565e-14
FBgn0039315	-0.866705552620668	1.33737391489817	66.0211934228885	4.46100310814741e-16	5.14789009275132e-14
FBgn0040466	-0.456470971128672	3.67159004233868	65.6125778583338	5.4887347323726e-16	6.25846443650771e-14
FBgn0000180	0.842859546342515	3.20527037274488	65.0032817397736	7.47734395566393e-16	8.42564710674696e-14
FBgn0030272	-0.340784655586547	7.82378634080486	64.7410151765849	8.5418220700814e-16	9.51320602177205e-14
FBgn0038236	-0.761459881997391	8.35037840434293	64.5562891709922	9.38136162761005e-16	1.03281243297987e-13
FBgn0265991	0.380369894316311	8.30345670983202	64.1323411271098	1.16336071565161e-15	1.26621237892172e-13
FBgn0263986	0.83313488118475	2.63487205076451	63.214399048514	1.85388217462232e-15	1.99511050208231e-13
FBgn0260005	-0.261632603682757	7.85909238025922	62.9566369443901	2.1130782406891e-15	2.24878482103558e-13
FBgn0039045	-0.807740154258537	3.1544439246085	62.1665729825314	3.15599785958702e-15	3.32177445045324e-13
FBgn0036106	-0.512271228502709	9.65640487419448	61.03111040805	5.61799787103616e-15	5.84882430530264e-13
