baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	baseMean_WT2U_old	log2FoldChange_WT2U_old	lfcSE_WT2U_old	stat_WT2U_old	pvalue_WT2U_old	padj_WT2U_old
FBgn0031821	551.519459681901	-0.676830567758809	0.0491418884593092	-13.7729865289821	3.70571278061292e-43	3.81648570029145e-41	551.519459681901	-0.437416534083846	0.0479924236019675	-9.1142830733373	7.91923181628266e-20	1.08357717623365e-17	551.519459681901	-0.159259299888281	0.0472883097973446	-3.36783658732552	0.000757604863746727	0.00365007011316205
FBgn0031800	460.368702101539	0.387496895187047	0.0691157001347299	5.60649598328143	2.06463764733858e-08	2.2729999294493e-07	460.368702101539	-0.350372202420812	0.0701311341314595	-4.99595802577562	5.85443943553396e-07	9.23786176499905e-06	460.368702101539	-0.41194693971437	0.0701928986873558	-5.86878370060212	4.39003705126983e-09	7.07874997930344e-08
FBgn0051637	2002.89427235574	-0.10994658537119	0.0254827862013138	-4.31454333535637	1.59933160315507e-05	0.000102808040906169	2002.89427235574	-0.159426315105536	0.0253218140888282	-6.29600685583874	3.05410869988873e-10	1.01172393573366e-08	2002.89427235574	-0.0818579279621588	0.02518199096904	-3.25065353501234	0.00115140079160638	0.00523046689852434
FBgn0031850	2827.32773800247	-0.594646975428144	0.0479781433365607	-12.3941222830731	2.81207837947383e-35	2.42649429897301e-33	2827.32773800247	-0.147544392295455	0.0476234605204218	-3.0981451302176	0.00194736037708693	0.0124928450714927	2827.32773800247	0.158253297494913	0.0474749091916893	3.33340916684926	0.000857886783077822	0.0040697571115995
FBgn0028703	6638.4335226756	-0.190336775056992	0.030251013092696	-6.29191407486939	3.13575055336303e-10	4.59942094948102e-09	6638.4335226756	-0.142107130170206	0.0301762361610223	-4.70923972797382	2.48642492471325e-06	3.38280936490107e-05	6638.4335226756	-0.0802133335976749	0.0301452787209325	-2.66089208662635	0.00779339303829958	0.0264536687053879
FBgn0028990	2343.70147811871	-0.154384032124644	0.0430444526483655	-3.58661854492199	0.000334993810093068	0.00155003416090406	2343.70147811871	-0.167479366670126	0.0429127582098719	-3.9027872748482	9.50912719146083e-05	0.0009026602600576	2343.70147811871	0.308085517712268	0.0426331046877049	7.22643870224911	4.95824268949266e-13	1.47028013869847e-11
FBgn0015776	5954.90004799706	-0.236108548889236	0.0343769174659671	-6.86822921580975	6.50037174230147e-12	1.22079530485811e-10	5954.90004799706	-0.153608381623986	0.0342887157818973	-4.47985228146349	7.46947149596148e-06	9.26717590522267e-05	5954.90004799706	-0.139387570517585	0.0342749146847547	-4.06675178624393	4.76729729128681e-05	0.00032779018992064
FBgn0002938	67538.9765165644	-0.621741990889922	0.0530738857444252	-11.7146499105773	1.07233274465149e-31	8.15143097481901e-30	67538.9765165644	-0.236900511915061	0.0530625679508093	-4.46455045550519	8.02370395075674e-06	9.87802524940206e-05	67538.9765165644	-0.35251142083837	0.0530638376169923	-6.64315731143967	3.07033831034219e-11	7.12050855604297e-10
FBgn0031914	4921.81282836027	-0.14945344783276	0.0490134983495083	-3.04923037256041	0.00229428474445132	0.00812371877351378	4921.81282836027	-0.269614466214374	0.0489967345754877	-5.50270275254747	3.74012712882333e-08	7.87317310766371e-07	4921.81282836027	-0.244759610458998	0.0489785606610721	-4.99728058880121	5.81444360011944e-07	6.20768004527183e-06
FBgn0041181	1720.31869095535	-0.249514038105001	0.0335852096608379	-7.42928332515214	1.09187645706195e-13	2.66106684624411e-12	1720.31869095535	-0.112307055017189	0.0331936622851531	-3.38338849303236	0.000715972749327272	0.00530362489795561	1720.31869095535	0.203849335931923	0.0328435221330692	6.20668316589203	5.41145415946262e-10	1.00642539688025e-08
