WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0051235	2.70331505110539	2.09520083066482	1.96339097900325	1.93767255022017	2.42072961551048	2.51123783425146	1.71207115839505	1.96503126015119	2.00215355359148	2.51828988712659	2.72023853200437	2.10772692906514	2.47043725749476	2.1915844824359	2.69838081228911	1.85710839115828	2.61466787815045	2.14802754883286	2.51002655521499	2.89150575318098	2.39971129876228	2.44125303835672	2.3568604760892	2.5291418857471
FBgn0037602	7.98371400511857	6.61570097326583	5.04266910195382	6.12909457787692	7.46205462394916	9.33513533128111	6.24864214981062	5.06124004070318	5.26657451565684	8.0127920926374	7.52136906742672	7.78854826694209	7.06516277342723	5.99906162106784	7.53115374714814	6.11470287145618	6.66669662870609	6.81719708181017	7.42209410585084	6.23293062320193	4.97825911134462	7.19652082350254	6.85205616533034	5.55554459483011
FBgn0035171	19.1871969203606	19.8111813613391	17.0069629498379	18.0881913750708	17.7316333707285	17.6887908758487	18.9241216649527	19.8521351361487	18.135948142598	18.8319062323976	16.3950975744415	14.5952647027857	20.0109052866698	21.3617464218	16.2239388319097	16.3247395995831	15.335361467582	14.0636183453676	19.5816830335119	17.648400979555	15.7214945269264	17.8679312992476	16.8471669271418	16.0093397539423
FBgn0000287	6.00104462683078	6.03087306346597	5.54953763257879	5.39472398893416	6.33699532852715	6.62634479519893	7.0445213060947	5.98147257608316	5.4931501112395	5.75106334874856	5.59822999319577	6.55805980269226	5.3903143705307	5.69120308790576	4.91975102127693	3.69962887435452	4.11920375923149	4.68702823209594	4.30325171269242	4.20512445169849	4.68677952856639	4.17077470999222	4.27834587379508	4.01952544259676
FBgn0262983	5.4435168038891	5.259245598661	4.3950546563723	4.0832176041102	4.6398228844054	4.98450231486124	5.13199202664645	5.71875430427346	4.26044851138907	4.19425398535221	4.61705211207288	4.58434585157273	4.9736555079918	4.76690700652714	5.10916425076748	4.63584991002001	3.87940020030954	4.19560396074884	5.22716655458483	5.67195814651279	3.96698535012409	5.02264142896881	4.23377886481486	5.34153913916182
FBgn0037046	7.74031923047042	8.08648287618098	6.92068995372604	6.17447445517348	5.97642353300278	7.62110873524354	9.29470242171653	7.22064619964759	4.9047031264493	4.85593347832695	6.96079002705207	9.37361122835751	8.85127474359491	8.24727002555607	7.28343790511772	4.92241261387111	7.64990864063013	8.01533592157181	10.8865809627557	8.64735305008879	8.25086111486678	7.97862020398594	10.2345349459357	7.66123019520319
FBgn0036381	116.275838420529	54.4221632020876	47.1877249932567	32.3098800846626	37.7528558023958	43.2604684576229	120.825375012417	65.4180005050779	45.633527503578	39.6006727117237	44.9741641323889	62.7799858532551	97.5245193957001	40.5202355280567	41.2654850470777	54.107766691878	51.5707389390375	58.6281755621546	108.958070080175	48.0641883611564	69.4742110340938	54.1807108598958	56.5302770958251	58.2120860148665
FBgn0037410	14.4039678049116	15.3365502024771	10.2144809697774	6.63782026620423	9.86992527693382	11.4267964944775	16.4961226613508	15.0215722998224	10.7292583074594	4.83124229114902	7.68724983637068	10.0514279844639	4.5979630747701	4.19584067220645	3.04864122360978	4.51782790570769	4.75754738068254	4.604872971353	6.47087170033088	6.05578624003583	4.41380425009339	5.65243972727211	4.44626350109278	5.30339196659438
FBgn0053138	59.0180254514675	58.304279603906	39.6459541389841	39.1890684999529	32.0964757804283	31.6392345830941	52.2040792104038	47.2505764974292	41.9630541592576	40.3435779609731	32.5541340649319	30.8476670179066	45.7420099169635	44.3378413029949	28.0278874960121	39.0699510834404	34.7091507018349	29.2505316649762	54.0126984933288	53.2188860038002	39.6602253996682	41.0659100845397	38.1391629492637	33.2014922449928
FBgn0034390	73.5816995574862	84.7103821747471	66.9782883169516	62.5281015398644	54.4316061871947	64.7703099465025	77.3943001470112	71.5856793413344	59.9231987472438	49.2712954272908	62.4108564382152	65.9287119183384	84.4129862200159	81.9871754879272	58.3830251144156	82.0971447372078	87.5743666849158	90.7146895653444	100.683094242444	112.690056045147	108.53751363083	85.4819014720438	73.1781894965133	67.4103191471341
FBgn0039629	29.7153694580816	28.7213525495421	24.4299537370336	21.78540153386	19.1192345308198	26.1426297616947	24.9947756038853	26.8935567267677	20.1588974221279	12.8775510086083	22.2041848005741	25.882159364027	26.3210766355354	27.2731851333466	27.6895384891821	25.7688533429458	30.5955885658839	33.8339483076363	30.4850233757308	29.8090705130024	34.0995881217629	26.0145124069623	32.3961670191853	29.0977413678582
FBgn0014464	2.12826752097842	2.20102687411341	2.07167279048017	1.3098891532137	1.54008716924101	1.68415272631579	2.02082220756846	1.83785425465175	1.69838106053067	0.98214993334104	1.19409925175022	1.71210026688607	1.29081247984833	1.81412641101761	1.76282125339705	1.27517143577548	1.43641451355609	1.39797636188782	1.38875581872717	1.32165339236694	1.77494496020343	1.17879672365182	1.29703825841609	1.35692801184323
FBgn0014869	236.450604846255	238.665557700756	190.235532939071	205.170901461456	195.739677225472	168.284725380509	212.32589401981	225.886464597551	221.917038405109	199.926672629327	181.062394266654	155.254119638571	208.40591436612	214.075333716591	143.362882261925	195.478175796048	192.660993304804	149.266210752545	247.171974222499	256.819770929525	195.29550652351	218.506032716731	210.015892651349	149.404323829819
FBgn0036501	62.5154311435052	56.3667721462763	61.8235228181561	48.487855848847	50.828015845459	59.2639143126682	61.2661126166554	61.6115581137961	54.1636898393382	49.7321834504509	54.5678167668912	57.2538532293664	60.4568444591937	61.1683137261493	68.3379767346552	57.4409108632288	61.6371567878931	62.542488593114	69.7162275913613	65.8693510219819	55.5664371031454	63.1931506801157	59.0065460592795	60.6111601730092
