logFC	logCPM	LR	PValue	FDR
FBgn0025628	0.580379923596633	6.88679642704965	103.702858858167	2.3505181213127e-24	3.6311713816021e-22
FBgn0034647	0.976359597751367	3.52344358937658	103.166043186428	3.08203677433217e-24	4.68567432135771e-22
FBgn0034335	0.91809392602916	5.28335308019766	102.713087869149	3.87376781041319e-24	5.7973356387715e-22
FBgn0043806	0.445687521381954	6.40002229872347	102.524078370866	4.26156378003922e-24	6.27957813618702e-22
FBgn0030993	0.831123556053819	4.63260559179232	100.58236677324	1.1357436130765e-23	1.64820489788587e-21
FBgn0034312	0.579596562417779	4.65156588921216	100.52213093349	1.17081415498203e-23	1.67373999648028e-21
FBgn0011703	1.00592315642756	2.28812133013618	100.108759271312	1.44254135838667e-23	2.03186193097464e-21
FBgn0036145	-0.726892015551663	6.4974061165385	100.03771850372	1.49522239471099e-23	2.07554204297709e-21
FBgn0085354	0.396894729025567	5.46538380159682	99.6161483266988	1.84989933367986e-23	2.53119083114081e-21
FBgn0034793	0.561506682837375	4.83447806044533	99.4757312989692	1.98581918807604e-23	2.67889805399892e-21
FBgn0028396	2.61681796737754	9.36664203099825	97.633393550385	5.03476436693778e-23	6.69763515368473e-21
FBgn0030263	0.434170766880967	7.66907604627951	96.6658969463713	8.20707740398963e-23	1.07681352569058e-20
FBgn0034053	-0.724577037902029	4.31360607589988	95.9682357852389	1.16741569712145e-22	1.51101453338233e-20
FBgn0032699	0.740933428691623	5.41382599276532	95.7969312003409	1.27292877388882e-22	1.62561490617428e-20
FBgn0032857	-0.349706658523632	5.27433709832565	95.6824445975961	1.34871149680634e-22	1.69973141005409e-20
FBgn0026084	0.556168866721683	7.13978889690361	95.3237715759267	1.61660229808927e-22	2.01088530014273e-20
FBgn0046776	1.19103466657502	3.63212052869859	95.2210299273921	1.70271809995637e-22	2.0908505078695e-20
FBgn0033775	0.567703526226268	4.70393168328738	94.6643228912413	2.25568219081706e-22	2.73480050932226e-20
FBgn0020414	0.362944536506924	7.84737403462568	93.4201790987882	4.22916899060516e-22	5.06337257400203e-20
FBgn0267207	-2.01622285824769	0.665488338204596	93.3501469591624	4.38149030997334e-22	5.18097706036106e-20
FBgn0031701	3.43537827631328	6.39289197486119	92.6194606633116	6.33811151490958e-22	7.40322342558584e-20
FBgn0264987	2.12685265704069	3.01619326125905	91.4409985475317	1.14969576081221e-21	1.32672120446498e-19
FBgn0000042	0.375693540732212	10.0145404510926	91.2779730032433	1.24842630530286e-21	1.42350323240367e-19
