probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0030679	1	default	1	24	89.7599954632	3.95482490258	2142.62147027	0.51297516658	0.40474742582	0.0414211463857	0.0392626834992	0.240139197034
FBgn0027329	0	burg	1	23.4823529412	149.883425142	9.86200194752	1512.65088564	0.523598044835	0.417730943688	0.0980640205452	0.0355533811123	0.226375515712
FBgn0053172	0	burg	1	25.2658227848	12.7137591548	8.57215444718	107.520282096	0.505308761592	0.39537737528	0.118054130701	0.0421215150205	0.249344790399
FBgn0001092	1	burg	1	24.1939393939	1819.13032605	5.2174012007	13349.3898696	0.80161925901	0.757534649901	0.111303492206	0.000689839068188	0.0284332219501
FBgn0030701	0	burg	1	26.972972973	96.295409627	8.69683104267	2269.11235048	0.541825170254	0.440008541421	0.038992741818	0.0298291255551	0.203158794868
FBgn0030706	0	mle	1	20.6839378238	546.993949997	17.004276639	4125.04538157	0.601603656783	0.513071136069	0.12995295555	0.0159008025857	0.141044184226
FBgn0030734	0	burg	1	25.9220779221	117.589945134	9.85995516592	2262.4121217	0.792981743741	0.746977686794	0.0396537829733	0.000835677881761	0.0315122942973
FBgn0004598	0	burg	1	24.3414634146	373.339648342	21.3814292522	4410.90534506	0.669239325873	0.595736953844	0.0742346139887	0.0068835489928	0.0925992026025
FBgn0030745	0	yule-walker	1	20.3673469388	66.7830300008	9.11894563061	804.666312925	0.691591415196	0.623056174129	0.072179437316	0.0050242248034	0.0795970028601
FBgn0004367	0	burg	1	20.2639593909	24.5513552388	15.4306480968	138.588153314	0.493452086082	0.380885882989	0.175099282588	0.046858932458	0.264631400403
FBgn0030753	1	yule-walker	1	26.091503268	74.056277464	20.7776029301	1192.68537987	0.553415475737	0.454174470345	0.0581707609104	0.0265807059571	0.190253833285
FBgn0030752	1	mle	1	26.2631578947	100.055927271	8.13508802145	1703.31468988	0.64830651428	0.570152406343	0.0505712823562	0.0090727607488	0.105502484405
FBgn0027556	0	yule-walker	1	23.4823529412	862.324720299	22.680328383	3216.96140557	0.887753277414	0.862809561283	0.210312308842	5.31840628996e-05	0.00697804047194
FBgn0030798	0	mle	1	23.9041916168	141.586275003	21.876210742	711.400091874	0.713354180226	0.649655109165	0.182887740215	0.00361455849421	0.0671177027324
FBgn0030789	0	burg	1	26.2631578947	23.0039143996	6.60754082403	162.70645789	0.654909099015	0.578222232129	0.120569529559	0.00833107008117	0.101649667818
FBgn0001250	0	mle	1	25.4267515924	190.654219194	22.7781460889	2866.56091219	0.644750779391	0.565806508145	0.0598963587958	0.00949290428633	0.107728717126
FBgn0030816	0	burg	1	25.5897435897	179.080215539	10.8583601831	1118.58512903	0.687387635412	0.617918221059	0.139001660035	0.00533983308021	0.0810537579116
FBgn0030830	1	yule-walker	1	23.2093023256	9.58114755097	12.3587125426	21.0800039235	0.637261541484	0.556652995147	0.425678924196	0.010427284281	0.11349151005
FBgn0040877	1	yule-walker	1	26.091503268	28.1086345893	7.08143558182	199.314163167	0.601534575305	0.512986703151	0.126908734483	0.0159132136671	0.141044184226
FBgn0030873	0	mle	1	24.1939393939	113.414921591	12.0684293884	1348.64859211	0.785880828412	0.738298790282	0.0670409973281	0.000972635227514	0.0346315992904
FBgn0030858	1	mle	2	25.106918239,21.8142076503	61.5846707957,61.7252175087	6.10120514855,16.9624183699	556.654758125	0.728598376506	0.573511734509	0.0674516830748	0.0369728931521	0.23199952205
FBgn0028343	1	mle	1	22.8114285714	110.587705302	11.4255617853	1419.0217572	0.666299764695	0.592144156849	0.0690561936112	0.00716315432825	0.0947139580566
FBgn0030884	0	yule-walker	1	24.1939393939	47.8913515605	21.8165998875	325.884274231	0.648085378558	0.569882129348	0.129671091759	0.00909846023369	0.105502484405
FBgn0052553	0	mle	1	25.106918239	85.0677301968	22.6998184893	130.806382155	0.831256795124	0.793758305152	0.500557878663	0.000333056811147	0.0204488342126
FBgn0030894	1	mle	2	24.490797546,21.3475935829	129.81114981,147.941621999	12.9940879682,6.57598905766	733.670304915	0.843106585905	0.753453206422	0.142104013094	0.00604379288175	0.08618468571
FBgn0022355	1	burg	1	20.3673469388	11024.915154	16.5227413697	50183.0062528	0.519394013029	0.412592682591	0.208188217801	0.036987186278	0.23199952205
FBgn0010383	1	burg	1	24.3414634146	132.696367277	15.425036222	790.597092298	0.805836644473	0.762689232134	0.164577533712	0.000626257168162	0.0275068857541
FBgn0030945	1	mle	1	20.6839378238	33.9630034671	14.8609993346	504.877008358	0.491350857893	0.378317715203	0.0711562949356	0.0477400009781	0.267941366176
FBgn0027335	1	yule-walker	1	24.3414634146	325.397410683	21.5070040338	2880.84282207	0.504472054175	0.394354732881	0.119268933253	0.0424430596616	0.250776503271
FBgn0031003	1	burg	1	23.6213017751	15.7286428061	7.08230610774	148.501255616	0.509885434148	0.400971086181	0.118458204451	0.0403960818328	0.243551721597
FBgn0031005	1	yule-walker	1	23.6213017751	55.6879259742	8.93106475749	317.857920589	0.607233460541	0.519952007328	0.160156824783	0.0149143788388	0.135408224753
FBgn0031012	0	mle	1	25.7548387097	67.2819993606	21.0370477247	494.764771617	0.566379531772	0.470019427721	0.127977491387	0.0232805900439	0.17585291123
FBgn0031011	0	mle	1	23.7619047619	701.393367316	20.826261356	1943.36532279	0.930869587932	0.915507274139	0.270694503951	6.0049743299e-06	0.00221214015891
FBgn0052537	1	mle	1	20.3673469388	24.9544001064	14.2811309721	221.465534814	0.755102597459	0.70068095245	0.0941326930435	0.00178003607902	0.0452233038856
FBgn0031006	0	mle	1	23.4823529412	93.3263554545	17.2213322938	1742.55246638	0.720259260769	0.658094652051	0.0455795736964	0.00323892380819	0.0631821023113
FBgn0027621	0	burg	1	21.5783783784	819.518859155	12.4004878102	7143.10802625	0.808914007906	0.766450454107	0.101445425186	0.000582813806839	0.02659027896
FBgn0031037	0	mle	1	25.4267515924	406.345904702	7.84862747641	4365.84453412	0.81701044252	0.776346096413	0.070772659033	0.000479643298598	0.0243895462796
FBgn0031040	1	mle	1	22.9425287356	17.6591178758	3.01043221039	160.700869547	0.513939643746	0.405926231245	0.109928241839	0.0389140026296	0.23922870166
FBgn0031055	1	mle	1	24.6419753086	35.5381943121	22.3240156706	401.279086872	0.560606118031	0.462963033149	0.0827741624283	0.0247083090707	0.182887313972
FBgn0031042	0	burg	1	22.0552486188	82.1666463559	18.6272657545	131.471076504	0.693519481733	0.625412699896	0.549314740536	0.00488441920541	0.0787592039553
FBgn0031068	0	default	1	24	49.4966632862	15.0499218174	418.514170226	0.573680264023	0.478942544917	0.110778709815	0.0215679800042	0.168497644764
FBgn0052227	1	yule-walker	1	21.8142076503	39.9665185984	10.6596770953	513.745524885	0.613888904481	0.528086438811	0.0802084405706	0.0138103685579	0.131617621938
FBgn0036939	0	burg	1	22.8114285714	128.700946878	14.2505238205	401.236642022	0.718838965407	0.656358735498	0.264143463738	0.00331358486034	0.0641097775992
FBgn0036935	0	mle	1	23.7619047619	1375.06090045	10.155965147	3470.62000349	0.670390637634	0.597144112664	0.344203616919	0.00677638271335	0.0914265976405
FBgn0036921	0	mle	1	25.2658227848	787.193476647	7.35813176978	5807.19627488	0.757591260991	0.703722652322	0.10813556884	0.00170007165232	0.0437722749621
FBgn0036920	0	mle	1	25.5897435897	36.0663884581	24.4238827422	506.82834346	0.731529586478	0.671869494584	0.0587617676493	0.00269174517247	0.056414737991
FBgn0036910	0	burg	1	23.9041916168	332.63574093	3.13966922558	1071.18069252	0.774654120837	0.724577258801	0.257458658043	0.00122411802512	0.0377413607736
FBgn0004623	0	mle	1	23.9041916168	3484.28271229	22.7534852704	16447.7013071	0.74163937154	0.684225898549	0.179236153995	0.00226474075407	0.051039263394
FBgn0036892	0	burg	1	21.0105263158	228.8719365	17.0470850164	2152.93043388	0.663884450724	0.589192106441	0.0925906309563	0.00739943771085	0.0965556054421
FBgn0005564	0	mle	1	26.4370860927	120.825837582	8.09115382466	2319.68839345	0.673480868586	0.600921061605	0.0449623682363	0.00649514493402	0.0889987608843
FBgn0036862	0	burg	1	22.9425287356	400.044788348	3.50410093427	3041.24161345	0.516905461833	0.409551120018	0.126792416522	0.0378568586365	0.235449994819
FBgn0026630	0	mle	1	27.156462585	161.389439753	26.7780034829	1639.92306325	0.51182061092	0.403336302236	0.101988131663	0.0396832723896	0.241631521264
FBgn0036834	1	mle	1	22.1777777778	56.2621244357	3.93457432382	624.022523712	0.521128745045	0.414712910611	0.0857988546364	0.0363902013505	0.229457108976
FBgn0036844	1	mle	1	25.4267515924	246.539938905	8.20602093251	1961.8192172	0.74802261816	0.692027644418	0.100041574456	0.00202361092763	0.047273525524
FBgn0036837	0	yule-walker	1	24.6419753086	1822.66263202	20.9820877325	15430.6213893	0.493502973866	0.38094807917	0.121057235889	0.0468377526724	0.264631400403
FBgn0040323	0	mle	1	23.2093023256	74.8088413369	22.3847152682	569.27137716	0.959024952929	0.949919386914	0.100205870153	5.70607630701e-07	0.000910879981142
