pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0023522	0.0118667739942626	0.0467397097302953	0.106439504215873	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	520.93778221632	624.949548604866	712.64587582959	592.813624821016	566.48731035069	656.937476884573	475.274888931548	635.249954838465	688.731305054827	603.243618289166	633.916200025634	717.750553033702
FBgn0025628	0.00932200719971937	0.0406822354644325	0.100365211936488	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	2270.42050082613	2627.44746392173	1773.74014950956	2454.09778260751	2353.24400726008	1874.9091493567	2413.40885158747	3097.34673797665	2033.5168824429	2633.26006410495	2605.0937172482	2147.50965467683
FBgn0025631	0.00131991077475351	0.0152522675795666	0.0320911181195023	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	2790.27299599616	3060.92310827319	4397.93062597598	3013.55891673986	3478.78928618637	3950.01639842093	2922.63194687127	3263.20414063409	3816.50984735369	2968.77196416466	2934.12641154722	3953.37004610963
FBgn0023545	0.000842455756625048	0.0120973461300772	0.0237871613184523	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	876.911933397472	852.768036536001	590.590504831152	898.365475000995	872.018990851308	637.75682062517	988.612918318653	854.246136988101	692.082795590374	892.439060764871	896.53862575054	722.057056351904
FBgn0026088	2.83093846614174e-05	0.00323888360378822	0.00426846741647209	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1100.48106493198	930.775923454055	566.966884637906	1044.68607931253	879.448332626399	692.901207370955	1211.84809342287	956.498030859438	604.944041666162	1144.35540323394	879.432950511753	640.233493306062
FBgn0026090	0.018835192880232	0.06022182052627	0.13222443416446	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	716.28945054744	655.088959459568	834.701246828028	667.049813773194	733.647500290238	845.147666429971	745.83180622375	759.240440320244	819.439435941144	672.15346981658	721.457008600603	951.737233322688
FBgn0025624	0.000121936082321115	0.00548502790330148	0.00912112089329387	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	701.095431899464	629.381814907028	405.538813317391	775.71438021044	709.502139521192	479.51640648509	762.291542636964	743.137779868065	448.261859129358	843.86326378653	650.015659073904	486.63487495685
FBgn0003116	0.0271777049654671	0.073511542363514	0.164831486047783	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	808.53884948158	797.80793438919	547.280534476868	1191.00668362407	803.297579431716	665.329013998062	860.021227590421	753.604509161981	651.864909163814	909.384106222432	763.718088602312	561.280932472354
FBgn0040900	0.000327210341007549	0.00781469553962644	0.011299207176668	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	45.582055943928	39.8903967194595	21.6549851771422	8.60709437126702	35.2893734316823	44.3552675998708	58.6378109720741	40.2566511304477	16.757452677733	14.6857060632194	24.1491885724051	40.1940309698873
FBgn0000810	0.000101632697761045	0.00517685893024347	0.00731895382928924	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	649.001653677832	739.30201920065	1340.64044596671	707.933512036712	833.01494653208	1136.45388336966	668.67679178681	791.445761224602	1196.48212119014	721.858936492092	869.370788606584	1075.19032844448
