probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0038341	0	burg	1	21.1216931217	72.1290381428	8.07788213354	689.584283712	0.815403935388	0.774382587697	0.0801101795022	0.000498885603392	0.0180077454512
FBgn0053207	1	mle	1	23.2093023256	19.484773481	22.5806921009	265.78013415	0.502591357672	0.392056103822	0.0744951793451	0.043172775575	0.203899824683
FBgn0038354	0	mle	1	23.4823529412	39.311803775	23.2115564011	312.662501926	0.659920346393	0.584347090036	0.111961578861	0.00780032904648	0.079565017686
FBgn0038360	1	mle	2	21.6956521739,25.2658227848	111.285421332,71.3789370027	17.6412106127,4.17738230561	654.844847518	0.768513743093	0.636235882004	0.0758049059177	0.0220211931818	0.142320504923
FBgn0026616	0	mle	1	24.490797546	790.982385364	21.5444683675	2827.19269117	0.838270508076	0.802330620982	0.213638431827	0.000275138585317	0.0134452927049
FBgn0038366	0	burg	1	22.6818181818	108.865720354	14.112253785	345.579924292	0.575481691028	0.481144289034	0.291150295966	0.0211608892955	0.140049073719
FBgn0051183	0	mle	1	22.4269662921	265.426631182	2.60526309243	1414.88723789	0.729606941567	0.669519595248	0.176566288113	0.0027795847588	0.0466249786686
FBgn0038396	0	default	1	24	11.4041875018	14.0192638886	122.663305218	0.638812084026	0.558548102699	0.0827058546455	0.0102282057082	0.0928585348563
FBgn0052855	0	yule-walker	1	25.5897435897	73.7758395467	22.4808043153	144.559081391	0.823173106131	0.783878240827	0.383442528645	0.000411118889817	0.0163830961243
FBgn0027657	0	mle	1	21.9340659341	899.92913971	20.7145104672	5240.56464351	0.489348764501	0.375870712167	0.181184593438	0.0485914368678	0.215695808282
FBgn0063649	1	burg	1	23.0751445087	56.769294259	7.65025633091	665.353211298	0.519301045831	0.412479056015	0.119792471555	0.0370193933609	0.189104933126
FBgn0038404	1	mle	1	22.4269662921	22.2529725024	16.3977295971	81.4960329189	0.592306647473	0.501708124689	0.308785412298	0.017640111925	0.127035332344
FBgn0038407	0	mle	1	24.7950310559	411.323076287	23.203805143	2223.00456264	0.865747435222	0.835913531938	0.148301182272	0.00011902869187	0.00920628248271
FBgn0038424	0	mle	1	25.106918239	60.2605098473	9.23614952838	595.767486937	0.605312355998	0.517603990664	0.0903375804961	0.0152454724712	0.117191922415
FBgn0038425	1	default	1	24	24.8338218882	18.9842583504	153.232809142	0.637846631525	0.557368105197	0.143489179228	0.0103518121074	0.0936257378323
FBgn0038429	0	burg	1	22.8114285714	19.5946714111	19.920706722	207.393909299	0.674216208914	0.601819810895	0.091156950946	0.0064295803435	0.0729567853336
FBgn0038432	1	yule-walker	1	23.0751445087	81.259075889	10.703863371	610.556430196	0.878681422393	0.85172173848	0.102490576406	7.54523714555e-05	0.00794783649675
FBgn0027053	0	burg	1	20.9005235602	58.5095442278	18.6314503104	530.821551096	0.704269066061	0.638551080741	0.0908043779183	0.00415944510188	0.0579057633515
FBgn0038435	1	mle	2	26.6133333333,20.0603015075	11.2302660996,12.3363958127	23.296672302,15.0314395962	45.8947268722	0.831500854572	0.735215628613	0.199411440441	0.00767886117384	0.0789990680162
FBgn0038439	1	mle	1	22.9425287356	22.1792460234	17.3050638834	112.013896153	0.582048841316	0.489170806052	0.180384291465	0.0197271751727	0.135640261166
FBgn0038422	0	mle	1	23.3450292398	231.558644146	12.0654323176	973.180662143	0.54770883481	0.44719968699	0.248458610841	0.0281437179998	0.164667398291
FBgn0038420	1	mle	1	25.4267515924	245.782423765	9.82277405109	1555.16981771	0.566173813546	0.469767994334	0.144248499015	0.0233303328238	0.148181649725
FBgn0015019	0	mle	1	24.3414634146	212.870147546	8.90733821306	1390.0767637	0.660780726001	0.585398665112	0.132662724192	0.00771191690608	0.0792540130112
FBgn0051217	0	burg	1	23.3450292398	302.586345213	0.0207030102068	1797.57237685	0.703591578001	0.637723039779	0.151918892387	0.00420249714312	0.0580437179369
FBgn0015351	0	mle	1	26.6133333333	39.2745018259	7.52809193545	184.688644497	0.528978645686	0.424307233617	0.21258628391	0.033781792169	0.180898789034
FBgn0027562	0	burg	1	23.9041916168	524.011713191	12.1630664786	2241.5257151	0.817596190777	0.777062010949	0.184281648005	0.000472772891559	0.0177517846052
FBgn0015011	1	burg	1	22.6818181818	90.4477744658	11.09228818	322.43491727	0.678785555083	0.607404567323	0.251303393173	0.00603361788102	0.0709079657232
FBgn0038473	0	mle	1	20.2639593909	56.2105242736	2.00702389795	671.383221689	0.555983946113	0.457313711916	0.0813067036938	0.0258996578937	0.156213427775
FBgn0038504	0	burg	1	24.95	212.775783376	8.22550210991	2127.85313936	0.521180916093	0.414776675225	0.0972711048234	0.0363723642211	0.187629027919
FBgn0038499	0	mle	1	21.4623655914	55.5686534426	13.3346796143	706.870994861	0.524576819375	0.41892722368	0.0780586046719	0.0352258587518	0.184626545344
FBgn0038519	0	mle	1	24.1939393939	237.570992328	21.2222925183	1541.95694245	0.629053835752	0.546621354807	0.139714210794	0.0115318498987	0.0993485241796
FBgn0016650	0	burg	1	22.1777777778	149.867932003	8.36374630777	1110.15908405	0.796502726074	0.751281109646	0.118323396888	0.000773595047618	0.0226590011195
FBgn0003499	0	mle	1	23.6213017751	58.4951897283	9.2565174025	483.835491267	0.779555052812	0.73056728677	0.0997336548527	0.00110879349585	0.0279474318507
FBgn0038589	0	default	1	24	66.6358216603	2.90097428365	273.330310408	0.525698637995	0.420298335327	0.273886866541	0.0348533616733	0.183521439311
