logFC	logCPM	PValue	FDR
FBgn0038236	-0.751048653134479	8.35037456239476	1.04209798064394e-11	1.63626466534552e-09
FBgn0261349	2.61565509865078	1.31700598759152	1.15486375415574e-11	1.78407823182318e-09
FBgn0050271	1.46539116704707	2.26920476102675	1.18862063582113e-11	1.8070807063325e-09
FBgn0035988	3.26441860209954	4.03519277095731	1.20819614469243e-11	1.80814104279126e-09
FBgn0034505	2.20802667488	1.68554334391464	1.30353928133426e-11	1.90380980582839e-09
FBgn0040466	-0.460029913570399	3.67162018994115	1.31187562314339e-11	1.90380980582839e-09
FBgn0037616	2.63505266841978	2.92468553661595	1.381438986284e-11	1.97483919561613e-09
FBgn0011224	0.42127701683987	7.19799005158783	1.45877053659788e-11	2.0547212058139e-09
FBgn0025111	1.88675317975897	2.43070511746461	1.55355449652452e-11	2.14937729804377e-09
FBgn0039315	-0.868848820295886	1.33705761772022	1.57085415392633e-11	2.14937729804377e-09
FBgn0036415	3.18768025474519	2.13924124980355	1.62034672678403e-11	2.18587055621655e-09
FBgn0003187	2.7026425206012	1.63481557507951	1.93044588052308e-11	2.56802925606251e-09
FBgn0053293	2.01602236350116	1.94289147158229	1.96828420442446e-11	2.58249672739418e-09
FBgn0037547	2.62902188848798	4.20176494563752	2.25155478818599e-11	2.89141272050881e-09
FBgn0040763	1.65179834619236	1.48065146259959	2.26410476130884e-11	2.89141272050881e-09
FBgn0033845	0.687240936210146	2.75757287025269	2.52093888074048e-11	3.17704639470162e-09
FBgn0039040	-1.18267857772585	4.79967170388278	2.7744027296961e-11	3.45106874610769e-09
FBgn0036417	-1.1087655649565	0.549113789784554	3.02229981312759e-11	3.71122918078667e-09
FBgn0038395	3.17535824636487	4.13681837777439	3.09988838936066e-11	3.71782691215207e-09
FBgn0029728	2.39660190265936	1.20449721282736	3.10530541837717e-11	3.71782691215207e-09
FBgn0016080	1.15286605538239	2.85558186455645	3.33241492308481e-11	3.94047779423535e-09
FBgn0031240	2.08627066149974	3.03967804860356	3.50870594510623e-11	4.09833970027164e-09
FBgn0016684	2.48117117953118	2.00806287618213	3.93605151678609e-11	4.54210860575628e-09
FBgn0033900	0.48368396292072	4.12598610229738	4.0710364955401e-11	4.64195089931942e-09
FBgn0051659	2.95945612698613	1.13268002893469	4.24537816126468e-11	4.7837920033639e-09
FBgn0003124	2.9539335361836	1.4634967645033	4.64306541431975e-11	5.17107913236681e-09
FBgn0037759	2.84910637324571	2.59766607185114	5.02141376733218e-11	5.52817253603536e-09
FBgn0054034	4.27493484161536	2.8068630290547	5.46948041723671e-11	5.87282145966878e-09
FBgn0032507	-1.65799556474863	5.29562920581738	5.48255481174192e-11	5.87282145966878e-09
FBgn0051601	3.27631519921356	1.41797986360189	5.51841648956139e-11	5.87282145966878e-09
FBgn0002673	1.45787969614307	1.68665609122763	6.16767382926488e-11	6.49164614689e-09
FBgn0034800	2.71657522231466	1.56942602903428	6.5100039910683e-11	6.77748024200567e-09
FBgn0040508	2.68079950753601	1.59071010965876	7.32748847153323e-11	7.5178301478298e-09
FBgn0039319	-0.857055995900804	2.79187488705145	7.37811687091253e-11	7.5178301478298e-09
FBgn0010504	1.19348153516119	3.23103647610304	7.52139691411497e-11	7.54783836121788e-09
FBgn0035581	3.19170232545344	1.45321383443816	7.61431975050847e-11	7.54783836121788e-09
FBgn0037292	0.922517424160344	2.58486173317976	7.64397912965269e-11	7.54783836121788e-09
FBgn0039518	3.30275351359783	2.17213760072329	7.77181495209709e-11	7.55672742149986e-09
FBgn0038909	2.75551930080926	1.58459691412275	7.81077484577663e-11	7.55672742149986e-09
FBgn0038598	3.36714019650056	3.28107733194378	7.97020734422361e-11	7.63386459429737e-09
FBgn0031501	2.66079757864246	1.61371565208913	8.33509690677886e-11	7.9043126904087e-09
FBgn0038610	-0.345596877906479	5.58847731214469	9.32625827225228e-11	8.75753938545415e-09
