logFC	logCPM	LR	PValue	FDR
FBgn0033943	2.59467127122518	0.78461203560167	358.894441445584	4.90136639265433e-80	1.56484291029477e-77
FBgn0033728	-1.2106986241646	4.71014421561792	356.247333256996	1.84811118243886e-79	5.7100673888385e-77
FBgn0040502	1.34492068829076	8.83284826257238	348.458493200033	9.17966086534586e-78	2.74758724275883e-75
FBgn0032810	-0.978381655074913	6.04958547590719	343.121843478105	1.33351416666141e-76	3.87042384493423e-74
FBgn0000320	-0.886122309806616	5.64543629320477	342.421346024171	1.89474137640067e-76	5.33759791269578e-74
FBgn0025631	0.609026256184857	6.80602838047708	328.364978793249	2.1822263728759e-73	5.97181834268725e-71
FBgn0033067	1.50397818110752	5.14938329094015	319.154948392791	2.21295470548577e-71	5.88768893587296e-69
FBgn0003430	1.01226228197498	3.82000215546908	318.148890424231	3.66535956653579e-71	9.48832808872426e-69
FBgn0038946	-1.35166150955613	6.28085275583771	313.676713689888	3.45376138349673e-70	8.70529645556096e-68
FBgn0024989	-2.03231285702955	1.895188658889	309.561587305549	2.72101014196879e-69	6.68252183071206e-67
FBgn0032022	-0.784279672816376	6.19661323770211	309.074511022821	3.4740590213225e-69	8.31863432655672e-67
FBgn0039665	1.21013932069389	3.59307283558687	307.595834082833	7.29394582260408e-69	1.70393690460736e-66
FBgn0052354	1.08274643121253	4.02707899245229	298.532230573653	6.87941429523746e-67	1.56883405047106e-64
FBgn0021764	1.07900450542495	6.04759284100703	297.784683459889	1.00096778506727e-66	2.2295975454359e-64
FBgn0039255	-3.42593510629364	1.81437766552314	293.51694121909	8.51652232566983e-66	1.85389206443786e-63
FBgn0030159	-0.755987137810346	6.37209769865118	280.003916043684	7.49450173731338e-63	1.59516305866639e-60
FBgn0265988	-0.809811806168528	7.36835554989331	277.90889089318	2.14432712661086e-62	4.46486200406062e-60
FBgn0039495	-1.13700093104314	4.02355012879769	273.875350580909	1.62298807199842e-61	3.30744250076614e-59
FBgn0002567	-0.983047725202142	7.73269080276863	267.644258671827	3.70118673949927e-60	7.38540970644249e-58
FBgn0033302	1.85374773385065	1.61720291434338	263.596813720236	2.8217395824917e-59	5.5156370859399e-57
FBgn0024943	-0.837174495472366	8.19660032224804	262.291526498895	5.432832926129e-59	1.04071347532927e-56
FBgn0031775	-2.29903290669977	5.4897671800199	261.116371395483	9.79886566767658e-59	1.84026539931385e-56
FBgn0046999	-0.827582419408596	4.28430142840661	257.028141571568	7.62648438249773e-58	1.4047397579916e-55
FBgn0032879	-0.980847458600079	6.22970533139624	254.236963738362	3.09580604906674e-57	5.59464723357759e-55
FBgn0027660	-0.697522585695734	5.87734527077071	247.455500572212	9.31482380618722e-56	1.65217374843817e-53
FBgn0034709	-0.787384138543706	5.87211206647216	237.415377181262	1.4397302788367e-53	2.50722483830871e-51
FBgn0025692	-1.56908111852617	3.02815334202551	236.46048269726	2.3254218100988e-53	3.97730180305827e-51
FBgn0032140	-0.836354506926531	6.25690002405203	234.873886449437	5.1579426203186e-53	8.66715340656343e-51
FBgn0261534	-1.38089667469443	3.54852504497297	231.157858263197	3.33300299605364e-52	5.5040521890003e-50
FBgn0037166	1.05881236096866	4.56744311992814	230.781122287509	4.02711535145108e-52	6.53757810783024e-50
FBgn0085427	-0.716782836701404	7.04957036175847	229.258617814968	8.65021270477962e-52	1.38086228810632e-49
FBgn0029791	-0.996560936839039	5.56894010407681	227.671646530511	1.91923722659389e-51	3.01351707480594e-49
FBgn0033730	-1.51372305198996	3.97251026213245	226.006061058883	4.42982553124924e-51	6.84336595779116e-49
FBgn0050033	1.0818229262326	6.2903385603061	225.105969974487	6.96142158451177e-51	1.05835707835641e-48
FBgn0036015	0.878439549139068	9.03198188275395	223.117989374329	1.88926044499682e-50	2.82739633471556e-48
FBgn0034293	-1.14410836038125	3.53897484153134	222.592810986623	2.45946192702984e-50	3.60149099046072e-48
FBgn0002937	-0.727066082177321	6.53383201517935	222.574878496203	2.48171231332645e-50	3.60149099046072e-48
FBgn0027843	-0.702153605433331	7.31813849725964	219.973507257763	9.16563028911417e-50	1.3102747299871e-47
FBgn0039161	-0.82488734403903	4.16426205752794	218.860585893404	1.60295648087061e-49	2.25781134908511e-47
FBgn0035627	-1.57745850245594	1.64366006994806	218.410958768521	2.00909092893446e-49	2.78885114743974e-47
FBgn0020414	0.55578461931929	7.84737403462568	218.327484227225	2.09511623964124e-49	2.86671762046912e-47
FBgn0035574	-1.03467743976897	4.95186994185294	218.269458611023	2.15707590724739e-49	2.90992578022754e-47
FBgn0262029	-1.46406667624538	2.66155011629711	209.78493468696	1.53033697890885e-47	2.03577327555402e-45
FBgn0003515	-1.43449403828468	3.80309490349474	206.058394359332	9.9506269877895e-47	1.30557678478148e-44
FBgn0014019	-0.762275422841108	9.31613741700403	203.372249788951	3.83673193333992e-46	4.96597546723375e-44
FBgn0260753	0.515767999195815	6.04620565476788	202.257677043921	6.71691270882932e-46	8.57794532335563e-44
FBgn0035612	1.1914329945694	2.19865047735413	199.213904422849	3.10011065653289e-45	3.90695524582527e-43
