pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0024897	0.000511516081215588	0.00393131527743635	0.00929631682216252	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	283.441041891159	138.464881024434	54.9040397376235	41.4599925939023	80.9768625003464	272.047357503276	209.646717041442	132.214264606718	39.736864641366	50.9645295560944	56.2510856570538	242.442080303272
FBgn0025390	0.000844474699977325	0.0053087737874575	0.013979820618483	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1547.93515938927	1683.29855363038	2439.42871941933	1503.76513678424	1961.6417477612	2746.54478012682	1579.7163435447	1903.48170265854	3329.53097416077	1366.48644872278	2018.98127442933	3152.90153003922
FBgn0025382	0.00959071963614371	0.0227325810311796	0.0685645005959847	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	347.070663540195	301.36474105318	228.062934294744	324.956698708964	286.603502107968	243.709091096684	371.697963186989	361.318371978663	184.044425707379	301.540133206892	289.909441463277	217.043386176263
FBgn0026873	0.00171012681397726	0.00803033112029504	0.0175648301498911	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	290.382455161963	281.454758160778	244.111807448818	291.340488497692	296.611878372056	255.044397659321	292.372178360497	271.493413581733	241.558308740935	284.551956688194	267.409007200456	243.596566399955
FBgn0014411	0.000140551703807043	0.00187131782724336	0.00340257837864403	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1449.59847138621	1553.88366482976	1850.68847792512	1472.39000725372	1649.56237879919	1797.77962083415	1537.78700013641	1585.56190608514	1959.65485099789	1382.41286420906	1734.26424087286	1917.60140658922
FBgn0023508	0.0216828758453666	0.0386476307112046	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1494.71765764644	1952.08332267781	2059.32382892809	1880.26669115049	1777.85156545704	1670.82418733262	1559.31828458932	2047.80719761091	2100.82529117116	1695.63236877256	1606.18484583834	1476.5877176566
FBgn0023522	0.0392175137490139	0.0556746139927959	0.150333611639008	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	475.486809050067	652.504439337366	705.305741244855	535.618282699603	639.626228513972	565.63179747556	468.0221304763	614.644940041916	712.126442651848	554.239258922527	635.204567265807	617.650061725003
FBgn0023521	0.020451235254139	0.0371792593794948	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	186.261256099904	200.004828146405	164.71211921287	197.21509990613	206.536491995266	160.961353189438	175.649952115803	191.761147139514	167.313114279436	212.352206483727	199.907704411991	173.172914502337
FBgn0025626	0.00216975460460253	0.00924225686818718	0.0259551023081566	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	727.691491222608	907.714220049069	909.7177045757	705.940414436715	791.571577250578	878.486258604327	713.932063438423	922.472044660609	863.753952467586	737.92391753095	890.497956017051	867.019058608369
FBgn0025625	0.000215119691693192	0.00238338698887032	0.00513470523767884	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	2129.85697192499	2520.42283433366	2680.16181673045	2980.63730539946	2533.93889958949	2142.37294033829	2150.86199429544	2623.09063902946	2810.86031989452	2727.66409228347	2342.64136728684	2079.22946012473
FBgn0025631	0.000803303709082792	0.00514521093919635	0.013979820618483	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1977.14587996731	2085.11820836795	2584.71325534043	1965.42775701905	2160.89942065531	2526.63983281167	1836.95853148204	2147.72484796256	2321.46946062717	2037.51942121136	2151.38767605286	2721.12372988006
FBgn0026878	0.0204834742182255	0.0372184409236053	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	134.200656568875	163.804859251128	155.420666334196	199.456180586881	193.798558568245	191.566680908557	163.184471643068	103.954727133526	149.536095887246	204.919879256796	247.504776891037	180.099831082431
FBgn0023520	0.00129591351268509	0.00686923035370628	0.0170205845596442	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	133.043754357075	110.409905130595	129.235662767021	129.982679483586	110.092138904965	130.35602547032	128.054481219908	117.075226674651	121.302007852591	135.905412149585	102.117355500498	124.684498441683
FBgn0052801	0.0494704531222662	0.0641581457821521	0.16207603718473	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	23.138044236013	97.7399160172477	43.9232317900988	52.6653959976597	34.574390730485	24.9376744378003	37.3964414182031	110.010342306353	79.4737292827319	56.2733347181876	33.7506513942323	23.089721933645
FBgn0023518	0.0497511655729372	0.0643775962017033	0.16207603718473	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1346.63417453596	1568.36365238787	1722.29749269253	1374.90299764103	1423.00913427575	1458.85395461132	1332.67318508506	1569.4135989576	1705.548058686	1431.25387170032	1485.02866134622	1657.84203483571
FBgn0026088	9.85913928785856e-06	0.000536628796906426	0.00104558269572436	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1008.81872869017	832.599284591369	543.12765463526	915.481458086978	786.112462924712	561.097674850506	925.845231474907	801.359741204074	584.550193013778	952.399646079514	731.264113541699	528.75463228047
FBgn0026090	0.00691558519188607	0.018562534750622	0.0438024515603463	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	703.396544774795	683.274412898352	729.80138974318	679.047446267698	684.208995508545	828.610909728727	628.940151124325	673.182553379241	861.662538539093	674.218255585832	648.18558703282	826.61204522449
