probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0265052	0	burg	1	20.4717948718	104.979188705	6.41829317022	1174.80403772	0.510711545525	0.401980777864	0.0856992869397	0.0400905815482	0.297204017081
FBgn0265070	0	mle	1	24.490797546	172.813886272	18.2594355491	468.814123582	0.809001099417	0.766556899287	0.304392596331	0.000581619425745	0.0398564978923
FBgn0265084	0	mle	1	24.3414634146	8.48750976229	22.0073103009	10.7499484752	0.645330045088	0.566514499552	0.729094810507	0.00942344714	0.147480027299
FBgn0265182	0	burg	1	22.9425287356	2169.51483607	7.87134326772	6912.5188117	0.576578767737	0.482485160567	0.295366179199	0.0209159137735	0.21610854598
FBgn0265266	0	burg	1	21.0105263158	13.9197133937	16.4817763701	24.6754659735	0.693591317178	0.625500498773	0.466215885474	0.00487926949016	0.104316167805
FBgn0265310	1	default	1	24	19.1522794784	20.7002666	66.6219179183	0.619499248808	0.534943526321	0.315081640817	0.0129300389534	0.170009721772
FBgn0265344	0	burg	1	21.3475935829	23.9732715013	19.0364733715	47.5898833942	0.755297010734	0.700918568675	0.405231743739	0.00177368599176	0.0666845362937
FBgn0265487	0	yule-walker	1	21.4623655914	2237.87102668	2.48164765063	7181.37360247	0.72577477628	0.664835837675	0.269602366707	0.00296130607514	0.0833197481142
FBgn0265497	0	burg	1	21.4623655914	46.1290648498	1.87124586767	150.005251637	0.567876437827	0.471848979566	0.297628259033	0.0229211162484	0.227415236313
FBgn0265512	1	mle	1	21.9340659341	323.370117112	0.805316504213	3375.95455025	0.943013488637	0.930349819445	0.0720665951416	2.51752805469e-06	0.0032396147404
FBgn0265575	1	burg	1	27.3424657534	130.665022207	17.1290778942	1422.49268603	0.486749169686	0.372693429617	0.118379789237	0.0497145454367	0.329806815852
FBgn0265590	0	default	1	24	68.8995645793	19.4038676638	451.656725305	0.626354969709	0.543322740756	0.140411287671	0.011914242794	0.163497765457
FBgn0265726	0	yule-walker	1	22.0552486188	506.069785359	0.485644563444	2063.25399433	0.914135088798	0.89505399742	0.198582293002	1.59283490104e-05	0.00612234105069
FBgn0265808	0	yule-walker	1	21.3475935829	9.38621976424	6.84407093644	33.413992674	0.573416468155	0.478620127745	0.306735987433	0.0216281008115	0.219867157512
FBgn0265935	0	burg	1	20.7916666667	97.5773716404	8.41406767771	1963.16201853	0.583571430195	0.491031748016	0.0457757191195	0.0194058347236	0.206981163678
FBgn0265959	0	burg	1	24.3414634146	1072.76251802	10.1138561064	5801.87915002	0.685726391265	0.615887811546	0.159472339834	0.00546871897004	0.112643850097
FBgn0265988	1	yule-walker	1	22.3016759777	390.536880481	19.6848861343	2667.0980944	0.767369899716	0.715674321875	0.122183228851	0.00141252643928	0.0606689606972
FBgn0265998	0	mle	1	25.9220779221	657.056159719	7.68703362578	6067.73432561	0.66025121655	0.584751486895	0.0936277050287	0.00776623622678	0.131888316631
